tid,posy,posz,vely,velz,accy,accz,pointx1,pointy1,pointz1,doppler1,snr1,pointx2,pointy2,pointz2,doppler2,snr2,pointx3,pointy3,pointz3,doppler3,snr3,pointx4,pointy4,pointz4,doppler4,snr4,pointx5,pointy5,pointz5,doppler5,snr5,pointx6,pointy6,pointz6,doppler6,snr6,pointx7,pointy7,pointz7,doppler7,snr7,pointx8,pointy8,pointz8,doppler8,snr8,pointx9,pointy9,pointz9,doppler9,snr9,pointx10,pointy10,pointz10,doppler10,snr10,pointx11,pointy11,pointz11,doppler11,snr11
0.0,1.898903489112854,-0.8872010827064515,-0.0727358162403106,-0.1060029566287994,-0.0509427934885025,-0.0898216292262077,0.0,1.774907112121582,-1.0998098373413088,0.3835020959377289,12.75,0.0,2.022385597229004,-1.05117244720459,0.1917510479688644,16.0,0.0,2.02023983001709,-0.8212177276611328,0.1917510479688644,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.891375184059143,-0.8982505023479465,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.888938784599304,-0.8887328326702121,-0.0082199089229106,0.0180498324334621,-0.0140997776761651,0.0175272598862648,0.0,1.531362533569336,-1.1466590881347654,0.1917510479688644,14.75,0.0,2.0492076873779297,-0.6906835556030273,-0.1917510479688644,13.0,0.0,2.0248889923095703,-0.6395427703857421,-0.1917510479688644,16.25,0.0,1.9218921661376955,-0.8741466522216798,0.0,25.5,0.0,2.023458480834961,-0.8272974014282226,0.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.8986188173294067,-0.85276437997818,-0.0048739723861217,0.0845481157302856,-0.0257644820958375,0.0787122249603271,0.0,2.034902572631836,-0.5719511032104492,-0.1917510479688644,16.75,0.0,2.059578895568848,-0.6137935638427734,-0.1917510479688644,13.75,0.0,1.7985105514526367,-0.951394271850586,0.0,23.75,0.0,1.9676685333251955,-0.7207242965698242,0.0,24.0,0.0,2.05850601196289,-0.644549560546875,0.0,26.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.8988492488861084,-0.8440767645835876,0.0159546472132205,0.0959971919655799,0.0148706343024969,0.084307350218296,0.0,1.6940832138061523,-0.9027568817138673,0.1917510479688644,13.0,0.0,1.796722412109375,-0.7901041030883788,0.1917510479688644,15.75,0.0,1.896500587463379,-0.634178352355957,0.1917510479688644,13.0,0.0,2.1647214889526367,-0.8294431686401368,0.0,14.5,0.0,2.010226249694824,-0.6778089523315429,0.0,25.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.9004366397857664,-0.8397714614868164,0.012639433145523,0.1046730428934097,0.0053618242964148,0.0930947288870811,0.0,2.0209550857543945,-0.7629243850708007,-0.1917510479688644,13.25,0.0,2.22158432006836,-1.497134399414063,0.0,12.25,0.0,1.8700361251831048,-0.8619873046875001,0.0,20.75,0.0,2.1725893020629883,-0.8437482833862304,0.0,16.0,0.0,2.015233039855957,-0.6513444900512695,0.0,24.5,0.0,2.0710229873657227,-0.646695327758789,0.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.907952070236206,-0.80737344622612,0.0098587963730096,0.1645611822605133,-0.0150168472900986,0.1485476344823837,0.0,2.054572105407715,-1.2553779602050783,-0.1917510479688644,13.25,0.0,1.910090446472168,-0.2465097427368165,-0.1917510479688644,14.75,0.0,1.9279718399047847,-0.20430965423584,-0.1917510479688644,15.5,0.0,2.1997690200805664,-1.5164463043212892,0.0,12.5,0.0,2.15005874633789,-0.9142009735107425,0.0,16.5,0.0,2.0624399185180664,-0.6946174621582031,0.0,28.75,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.915711760520935,-0.7763576626777647,0.0085982978343963,0.2211662828922271,-0.0325018055737018,0.2002958059310913,0.0,2.073526382446289,-0.5783884048461915,-0.1917510479688644,18.5,0.0,2.025961875915528,-0.4721729278564452,-0.1917510479688644,21.0,0.0,1.956939697265625,-0.3352014541625976,-0.1917510479688644,17.75,0.0,2.178311347961426,-1.527532768249512,0.0,12.25,0.0,2.1425485610961914,-1.0096876144409181,0.0,16.75,0.0,2.0792484283447266,-0.669583511352539,0.0,28.75,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.918501734733581,-0.7643415153026579,0.0012644124217331,0.2433128654956817,-0.0527044348418712,0.2211408615112304,0.0,2.07674503326416,-0.7303802490234375,-0.1917510479688644,13.5,0.0,1.919388771057129,-0.5243865966796875,-0.1917510479688644,13.0,0.0,1.98054313659668,-0.6263105392456054,-0.1917510479688644,14.0,0.0,1.7817020416259766,-1.0390130996704103,0.0,21.5,0.0,2.144694328308105,-0.9127704620361329,0.0,15.75,0.0,2.029895782470703,-0.6599275588989256,0.0,25.25,0.0,2.0749568939208984,-0.687107276916504,0.0,28.5,,,,,,,,,,,,,,,,,,,,
0.0,1.9138544797897337,-0.7741059780120848,-0.0106519591063261,0.2260138392448425,-0.0687180757522583,0.2065066397190094,0.0,1.818180084228516,-0.8948890686035155,-0.1917510479688644,14.75,0.0,1.8918514251708984,-0.9542552947998048,-0.1917510479688644,14.5,0.0,1.753091812133789,0.4601629257202149,-0.1917510479688644,12.75,0.0,1.6050338745117188,-1.1509506225585935,0.0,17.75,0.0,1.8922090530395508,-0.8290855407714843,0.0,20.75,0.0,2.141118049621582,-0.9217111587524415,0.0,15.5,0.0,2.022027969360352,-0.6663648605346679,0.0,25.25,0.0,2.0624399185180664,-0.6953327178955079,0.0,27.75,,,,,,,,,,,,,,,
