tid,posx,posy,posz,velx,vely,velz,accx,accy,accz,pointx1,pointy1,pointz1,doppler1,snr1,pointx2,pointy2,pointz2,doppler2,snr2,pointx3,pointy3,pointz3,doppler3,snr3,pointx4,pointy4,pointz4,doppler4,snr4,pointx5,pointy5,pointz5,doppler5,snr5,pointx6,pointy6,pointz6,doppler6,snr6
0.0,0.0398755706846714,2.98665452003479,-0.4499784983774589,0.0550413355231285,0.134811520576477,-1.2042765774822328e-05,0.0361246466636657,0.1201952397823333,-7.46637124393601e-06,0.0,3.025531768798828,-0.48182888031005844,0.0,19.0,0.0,3.076314926147461,-0.41817111968994136,0.0,20.25,0.0,3.153204917907715,-0.3512947082519531,0.0,16.0,,,,,,,,,,,,,,,
0.0,0.0398755706846714,2.98665452003479,-0.4499784983774589,0.0550413355231285,0.134811520576477,-1.2042765774822328e-05,0.0361246466636657,0.1201952397823333,-7.46637124393601e-06,0.0,3.025531768798828,-0.4356948852539063,0.0,18.25,0.0,3.078818321228028,-0.3913490295410157,0.0,20.0,0.0,3.154993057250977,-0.41781349182128913,0.0,15.25,,,,,,,,,,,,,,,
0.0,0.0398755706846714,2.98665452003479,-0.4499784983774589,0.0550413355231285,0.134811520576477,-1.2042765774822328e-05,0.0361246466636657,0.1201952397823333,-7.46637124393601e-06,0.0,3.038763999938965,-0.45643730163574203,0.0,18.25,0.0,3.0902624130249023,-0.4346220016479492,0.0,20.75,0.0,3.156423568725586,-0.4128067016601563,0.0,16.5,,,,,,,,,,,,,,,
0.0,0.0479773990809917,2.98362398147583,-0.4499756432771391,0.0635860338807106,0.0967224985361099,-1.940915171871893e-05,0.0402560196816921,0.0542509332299232,-1.306789090449456e-05,0.0,3.1746625900268555,-0.3816930770874024,-0.1917510479688644,14.75,0.0,3.0219554901123047,-0.2704708099365235,-0.3835020959377289,14.25,0.0,3.105998039245605,-0.3119556427001952,-0.3835020959377289,16.75,0.0,3.0469894409179688,-0.42282028198242194,0.0,18.0,0.0,3.117084503173828,-0.41495246887207027,0.0,21.75,0.0,3.1696557998657227,-0.3673879623413086,0.0,18.5
0.0,0.0416400544345378,2.989318370819092,-0.4499764134863653,0.0544278249144554,0.0989855080842971,-2.2541717044077814e-05,0.0337980315089225,0.0510824657976627,-1.4982506399974229e-05,0.0,3.020882606506348,-0.4528610229492187,0.1917510479688644,14.75,0.0,3.087401390075684,-0.4442779541015625,0.1917510479688644,17.0,0.0,3.1528472900390625,-0.5222408294677734,-0.1917510479688644,12.5,0.0,3.045916557312012,-0.4471389770507813,0.0,17.75,0.0,3.121376037597656,-0.415667724609375,0.0,21.75,0.0,3.173232078552246,-0.38276596069335944,0.0,18.5
0.0,0.0416400544345378,2.989318370819092,-0.4499764134863653,0.0544278249144554,0.0989855080842971,-2.2541717044077814e-05,0.0337980315089225,0.0510824657976627,-1.4982506399974229e-05,0.0,3.0194520950317383,-0.565513801574707,0.0,17.75,0.0,3.105282783508301,-0.4675237655639648,0.0,20.25,0.0,3.171086311340332,-0.3713218688964844,0.0,16.75,,,,,,,,,,,,,,,
0.0,0.0405326858162879,2.986368656158448,-0.4499764989534014,0.0519717633724212,0.0841659903526306,-2.564195892773569e-05,0.0316035784780979,0.0277596246451139,-1.705833346932195e-05,0.0,2.982616424560547,-0.4128067016601563,-0.1917510479688644,16.75,0.0,3.0241012573242188,-0.42067451477050777,-0.1917510479688644,16.0,0.0,2.8384923934936523,-0.8480398178100585,0.0,12.25,,,,,,,,,,,,,,,
0.0,0.0405326858162879,2.986368656158448,-0.4499764989534014,0.0519717633724212,0.0841659903526306,-2.564195892773569e-05,0.0316035784780979,0.0277596246451139,-1.705833346932195e-05,0.0,2.8324127197265625,-0.7893888473510742,0.0,12.5,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0405326858162879,2.986368656158448,-0.4499764989534014,0.0519717633724212,0.0841659903526306,-2.564195892773569e-05,0.0316035784780979,0.0277596246451139,-1.705833346932195e-05,0.0,3.1728744506835938,-0.39206428527832027,0.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0405326858162879,2.986368656158448,-0.4499764989534014,0.0519717633724212,0.0841659903526306,-2.564195892773569e-05,0.0316035784780979,0.0277596246451139,-1.705833346932195e-05,0.0,3.018379211425781,-0.4778949737548827,0.0,18.25,0.0,3.094911575317383,-0.42067451477050777,0.0,20.25,0.0,3.1778812408447266,-0.3881303787231446,0.0,16.75,,,,,,,,,,,,,,,
