tid,posx,posy,posz,velx,vely,velz,accx,accy,accz,pointx1,pointy1,pointz1,doppler1,snr1,pointx2,pointy2,pointz2,doppler2,snr2,pointx3,pointy3,pointz3,doppler3,snr3,pointx4,pointy4,pointz4,doppler4,snr4,pointx5,pointy5,pointz5,doppler5,snr5,pointx6,pointy6,pointz6,doppler6,snr6,pointx7,pointy7,pointz7,doppler7,snr7,pointx8,pointy8,pointz8,doppler8,snr8,pointx9,pointy9,pointz9,doppler9,snr9,pointx10,pointy10,pointz10,doppler10,snr10,pointx11,pointy11,pointz11,doppler11,snr11,pointx12,pointy12,pointz12,doppler12,snr12
0.0,0.2437751591205597,3.9344120025634766,-0.016477853059768677,0.08348894119262695,0.1528160572052002,-0.02938670478761196,0.12887531518936157,0.08809030801057816,0.03459988534450531,0.0,3.7529468536376953,0.09512901306152344,0.19175104796886444,14.75,0.0,3.8080215454101562,0.1577138900756836,0.19175104796886444,15.75,0.0,4.026532173156738,0.12445449829101562,0.0,17.75,0.0,3.808736801147461,0.30434131622314453,0.0,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.10830619931221008,3.943251609802246,-0.014720391482114792,-0.1482815146446228,0.16432242095470428,-0.018839986994862556,-0.0754031240940094,0.10007476061582565,0.03994963690638542,0.0,3.7164688110351562,-0.44989585876464844,0.19175104796886444,14.75,0.0,3.728628158569336,-0.13911724090576172,0.19175104796886444,15.75,0.0,3.8280487060546875,0.10800361633300781,0.0,20.25,0.0,4.027962684631348,0.06330013275146484,0.0,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.0012502744793891907,3.975616216659546,-0.013962917029857635,-0.3152470588684082,0.20753470063209534,-0.011287436820566654,-0.20598329603672028,0.13718639314174652,0.042457371950149536,0.0,3.9947032928466797,-0.5207061767578125,0.3835020959377289,12.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.12304985523223877,3.9754090309143066,-0.012613394297659397,-0.07607963681221008,0.16705237329006195,-0.003267758060246706,0.0008121281862258911,0.07268888503313065,0.04527264088392258,0.0,3.942131996154785,0.8296966552734375,-0.19175104796886444,12.25,0.0,3.8334131240844727,0.06473064422607422,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.13680313527584076,3.9365651607513428,-0.009395790286362171,-0.04127461463212967,0.0684693306684494,0.00676911324262619,0.026588106527924538,-0.04122889041900635,0.04926908761262894,0.0,3.7397146224975586,0.17917156219482422,-0.19175104796886444,16.5,0.0,3.769397735595703,0.15270709991455078,-0.19175104796886444,16.5,0.0,3.7636756896972656,0.11444091796875,0.0,20.0,0.0,3.8115978240966797,0.1709461212158203,0.0,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.1328086107969284,3.9432058334350586,-0.008472533896565437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.759026527404785,0.13589859008789062,0.0,20.25,0.0,3.8133859634399414,0.1977682113647461,0.0,21.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.11787769943475723,3.9092772006988525,-0.006232450250536203,-0.022996729239821434,-0.0580562949180603,0.003472615499049425,-0.0177164189517498,-0.05907221883535385,0.002375202253460884,0.0,3.7354230880737305,0.09655952453613281,-0.19175104796886444,13.5,0.0,3.7851333618164062,0.07259845733642578,-0.19175104796886444,13.75,0.0,3.7626028060913086,0.10013580322265625,0.0,21.25,0.0,3.8112401962280273,0.17631053924560547,0.0,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.11787769943475723,3.9092772006988525,-0.006232450250536203,-0.022996729239821434,-0.0580562949180603,0.003472615499049425,-0.0177164189517498,-0.05907221883535385,0.002375202253460884,0.0,3.756880760192871,0.10120868682861328,0.0,20.75,0.0,3.809809684753418,0.15842914581298828,0.0,21.75,0.0,4.015803337097168,0.31578540802001953,0.0,18.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.14330366253852844,3.899817705154419,-0.0054955375380814075,0.01649940200150013,-0.07520969212055206,0.00458295876160264,0.011590996757149696,-0.07672064006328583,0.0031238594092428684,0.0,3.814816474914551,0.2961158752441406,-0.19175104796886444,12.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.14330366253852844,3.899817705154419,-0.0054955375380814075,0.01649940200150013,-0.07520969212055206,0.00458295876160264,0.011590996757149696,-0.07672064006328583,0.0031238594092428684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.20854046940803528,3.911484718322754,-0.0037764599546790123,0.11872932314872742,-0.026281312108039856,0.006851141341030598,0.08917546272277832,-0.006315864622592926,0.004543527960777283,0.0,3.748655319213867,0.2778768539428711,0.19175104796886444,15.25,0.0,3.7872791290283203,0.3515481948852539,0.19175104796886444,17.0,0.0,4.001498222351074,0.4634857177734375,0.19175104796886444,12.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.20854046940803528,3.911484718322754,-0.0037764599546790123,0.11872932314872742,-0.026281312108039856,0.006851141341030598,0.08917546272277832,-0.006315864622592926,0.004543527960777283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
