tid,posx,posy,posz,velx,vely,velz,accx,accy,accz,pointx1,pointy1,pointz1,doppler1,snr1,pointx2,pointy2,pointz2,doppler2,snr2,pointx3,pointy3,pointz3,doppler3,snr3,pointx4,pointy4,pointz4,doppler4,snr4,pointx5,pointy5,pointz5,doppler5,snr5,pointx6,pointy6,pointz6,doppler6,snr6,pointx7,pointy7,pointz7,doppler7,snr7,pointx8,pointy8,pointz8,doppler8,snr8,pointx9,pointy9,pointz9,doppler9,snr9,pointx10,pointy10,pointz10,doppler10,snr10,pointx11,pointy11,pointz11,doppler11,snr11
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.892494201660156,-1.1507966995239258,0.0,13.0,0.0,2.788066864013672,-0.8325078964233399,0.0,19.0,0.0,2.7011632919311523,-0.6908872604370118,0.0,15.5,0.0,2.7494430541992188,-0.7155635833740234,0.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.9053688049316406,-1.1279085159301758,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.935409545898437,-1.0842779159545899,0.0,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.920389175415039,-1.0717609405517579,0.0,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.907872200012207,-1.0857084274291993,0.0,12.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.239108085632324,-1.3546445846557615,0.0,12.5,0.0,2.648591995239258,-0.8207061767578125,0.0,17.5,0.0,2.72977352142334,-0.7756450653076172,0.0,22.5,0.0,2.7723312377929688,-0.8178451538085938,0.0,19.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.6460886001586914,-0.8446672439575196,0.0,17.5,0.0,2.7240514755249023,-0.7967451095581054,0.0,22.5,0.0,2.774834632873535,-0.82642822265625,0.0,19.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.911806106567383,-1.0957220077514649,0.0,14.0,0.0,2.650737762451172,-0.8532503128051758,0.0,17.75,0.0,2.7240514755249023,-0.8364418029785157,0.0,23.0,0.0,2.7751922607421875,-0.8958080291748047,0.0,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.910733222961426,-1.0513761520385743,0.0,15.25,0.0,2.663612365722656,-0.8164146423339844,0.0,17.5,0.0,2.732992172241211,-0.8396604537963868,0.0,23.0,0.0,2.785921096801758,-0.9058216094970704,0.0,21.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.663254737854004,-0.8167722702026368,0.0,17.5,0.0,2.734065055847168,-0.8425214767456055,0.0,23.25,0.0,2.7827024459838867,-0.9240606307983399,0.0,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
