tid,posx,posy,posz,velx,vely,velz,accx,accy,accz,pointx1,pointy1,pointz1,doppler1,snr1,pointx2,pointy2,pointz2,doppler2,snr2,pointx3,pointy3,pointz3,doppler3,snr3,pointx4,pointy4,pointz4,doppler4,snr4,pointx5,pointy5,pointz5,doppler5,snr5,pointx6,pointy6,pointz6,doppler6,snr6,pointx7,pointy7,pointz7,doppler7,snr7,pointx8,pointy8,pointz8,doppler8,snr8,pointx9,pointy9,pointz9,doppler9,snr9,pointx10,pointy10,pointz10,doppler10,snr10
0.0,-0.060782548040151596,2.983574867248535,0.0024139885790646076,0.017225977033376694,-0.5620815753936768,0.024320151656866074,-0.5008257627487183,-0.37784940004348755,0.045418065041303635,0.0,3.108859062194824,-1.568913459777832,-0.3835020959377289,18.0,0.0,3.16464900970459,-1.6754865646362305,-0.3835020959377289,17.75,0.0,3.1213760375976562,-1.2373924255371094,-0.3835020959377289,19.0,0.0,2.967953681945801,-0.36835670471191406,-0.5752531439065933,14.75,0.0,2.8198957443237305,-0.10943412780761719,-0.5752531439065933,24.75,0.0,2.763032913208008,-0.0286102294921875,-0.5752531439065933,18.0,0.0,2.8116703033447266,-0.06759166717529297,-0.5752531439065933,25.75,0.0,2.9550790786743164,0.05435943603515625,0.0,28.25,0.0,3.0548572540283203,-0.054717063903808594,0.0,27.0,0.0,2.7730464935302734,0.17702579498291016,0.0,14.5
0.0,-0.13929465413093567,2.923387289047241,0.0035692197270691395,-0.16980984807014465,-0.595554769039154,0.026484491303563118,-0.6136488318443298,-0.3685356676578522,0.04388640075922012,0.0,2.845287322998047,-2.110719680786133,-0.3835020959377289,14.25,0.0,2.9332637786865234,-1.7580986022949219,-0.3835020959377289,17.75,0.0,3.032684326171875,-1.2813806533813477,-0.5752531439065933,20.5,0.0,2.95865535736084,-1.0635852813720703,-0.5752531439065933,19.25,0.0,2.774834632873535,-0.09799003601074219,-0.5752531439065933,22.75,0.0,2.8510093688964844,-0.1455545425415039,-0.5752531439065933,20.25,0.0,2.7265548706054688,-0.05364418029785156,-0.5752531439065933,17.25,,,,,,,,,,,,,,,
0.0,-0.2421749383211136,2.8408851623535156,0.0033215133007615805,-0.37236475944519043,-0.7109319567680359,0.0258799996227026,-0.7269168496131897,-0.4918467700481415,0.04070858657360077,0.0,2.9633045196533203,-0.7588863372802734,-0.7670041918754578,23.0,0.0,3.0884742736816406,-0.8826255798339844,-0.5752531439065933,19.0,0.0,3.189682960510254,-0.9484291076660156,-0.5752531439065933,13.75,0.0,2.8231143951416016,-0.3833770751953125,-0.9587552398443222,26.25,0.0,2.72977352142334,-0.1806020736694336,-0.9587552398443222,29.5,0.0,2.6764869689941406,-0.036835670471191406,-0.9587552398443222,27.0,0.0,2.5849342346191406,0.11909008026123047,-0.9587552398443222,18.0,0.0,2.8009414672851562,0.0032186508178710938,0.0,28.5,0.0,2.8814077377319336,0.039696693420410156,0.0,28.0,,,,,
0.0,-0.2999136447906494,2.7405498027801514,0.0036958279088139534,-0.4654366672039032,-0.8531153202056885,0.026117729023098946,-0.7363764047622681,-0.6367037296295166,0.03831559419631958,0.0,2.919316291809082,-0.9491443634033203,-0.9587552398443222,18.0,0.0,3.02731990814209,-1.0578632354736328,-0.7670041918754578,14.75,0.0,2.808809280395508,-0.4971027374267578,-0.9587552398443222,20.75,0.0,2.6711225509643555,-0.34868717193603516,-1.1505062878131866,24.5,0.0,2.579927444458008,-0.07295608520507812,-1.1505062878131866,25.25,0.0,2.5066137313842773,0.11551380157470703,-1.1505062878131866,22.0,0.0,3.2258033752441406,-1.0993480682373047,0.0,18.0,0.0,3.1478404998779297,-0.9033679962158203,0.0,20.5,0.0,2.7970075607299805,-0.03218650817871094,0.0,29.0,0.0,2.87783145904541,0.019311904907226562,0.0,28.25
0.0,-0.4367116689682007,2.621204376220703,0.003732268698513508,-0.6792246103286743,-1.0342885255813599,0.025512222200632095,-0.8436858654022217,-0.8230804204940796,0.035579558461904526,0.0,2.9207468032836914,-1.237034797668457,-1.342257335782051,12.75,0.0,2.6192665100097656,-0.7932186126708984,-0.7670041918754578,22.75,0.0,2.713322639465332,-0.9995698928833008,-1.5340083837509155,22.0,0.0,2.8384923934936523,-1.0228157043457031,-1.342257335782051,17.25,0.0,2.523064613342285,-0.5021095275878906,-0.7670041918754578,23.5,0.0,2.450108528137207,-0.1423358917236328,-1.342257335782051,21.5,0.0,2.3581981658935547,0.012159347534179688,-1.342257335782051,15.75,0.0,2.8667449951171875,-0.05042552947998047,0.0,27.5,,,,,,,,,,
0.0,-0.6927506923675537,2.4708244800567627,0.0038168851751834154,-1.074876308441162,-1.27247154712677,0.02472829259932041,-1.0937168598175049,-1.0632774829864502,0.03291906788945198,0.0,2.595663070678711,-1.5213489532470703,-1.5340083837509155,18.25,0.0,2.716541290283203,-1.6443729400634766,0.19175104796886444,13.5,0.0,2.5141239166259766,-1.141190528869629,-1.5340083837509155,26.0,0.0,2.581000328063965,-1.2753009796142578,-1.5340083837509155,23.75,0.0,2.372860908508301,-0.9766817092895508,-1.9175104796886444,24.75,0.0,2.2219419479370117,-0.7395744323730469,-1.9175104796886444,21.75,0.0,2.276301383972168,-0.7756948471069336,-1.9175104796886444,26.0,,,,,,,,,,,,,,,
0.0,-0.9054174423217773,2.282017707824707,0.004000287968665361,-1.3302704095840454,-1.5417932271957397,0.024086598306894302,-1.1887474060058594,-1.3030890226364136,0.030538728460669518,0.0,2.383589744567871,-1.564621925354004,-1.342257335782051,18.0,0.0,2.456188201904297,-1.7151832580566406,-1.342257335782051,14.0,0.0,1.85394287109375,-1.0796785354614258,-1.342257335782051,13.75,0.0,2.3431777954101562,-1.3339519500732422,-2.109261527657509,20.25,0.0,1.965165138244629,-1.0167360305786133,-1.342257335782051,29.0,0.0,2.2788047790527344,-1.0918378829956055,-1.5340083837509155,24.75,0.0,2.138972282409668,-0.9398460388183594,-1.5340083837509155,26.75,0.0,2.7959346771240234,-1.202702522277832,0.0,16.25,0.0,2.8134584426879883,-0.37550926208496094,0.0,22.75,,,,,
0.0,-1.0901004076004028,2.1111834049224854,0.004960310645401478,-1.557636022567749,-1.6687980890274048,0.0248852726072073,-1.3035026788711548,-1.278746485710144,0.029251307249069214,0.0,2.1028518676757812,-1.3457536697387695,-0.19175104796886444,20.25,0.0,2.2841691970825195,-1.3114213943481445,-0.19175104796886444,14.5,0.0,1.8607378005981445,-0.9609460830688477,0.7670041918754578,18.75,0.0,1.9208192825317383,-1.007080078125,-1.1505062878131866,27.0,0.0,2.050638198852539,-1.0578632354736328,-1.1505062878131866,23.25,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-1.2278645038604736,1.9006057977676392,0.005339758470654488,-1.6019724607467651,-1.8883198499679565,0.024413688108325005,-1.1898846626281738,-1.41000497341156,0.027247821912169456,0.0,1.5360116958618164,-1.0721683502197266,-1.342257335782051,15.75,0.0,1.6633272171020508,-1.1858940124511719,0.19175104796886444,17.75,0.0,1.7788410186767578,-1.2799501419067383,-2.3010125756263733,25.25,0.0,1.8239021301269531,-1.3715028762817383,-2.3010125756263733,20.5,0.0,1.9959211349487305,-1.4162063598632812,-1.9175104796886444,13.5,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-1.3818330764770508,1.7004770040512085,0.006042022258043289,-1.7035428285598755,-2.026589870452881,0.02450720965862274,-1.1784380674362183,-1.4014531373977661,0.025748826563358307,0.0,1.5320777893066406,-1.273512840270996,-0.3835020959377289,14.5,0.0,1.6139745712280273,-1.3679265975952148,-0.3835020959377289,21.75,0.0,1.7827749252319336,-1.4061927795410156,-0.3835020959377289,14.0,0.0,2.686142921447754,-2.0928382873535156,0.19175104796886444,12.25,0.0,1.5513896942138672,-1.0364055633544922,-0.3835020959377289,13.25,0.0,2.719402313232422,-1.9190311431884766,0.19175104796886444,13.25,0.0,1.8138885498046875,-1.1615753173828125,0.0,26.25,,,,,,,,,,,,,,,
0.0,-1.4475948810577393,1.5826256275177002,0.006024584639817476,-1.5968302488327026,-1.9928765296936035,0.0236051082611084,-0.9639549255371094,-1.2206025123596191,0.023799104616045952,0.0,1.582503318786621,-1.2584924697875977,-0.5752531439065933,16.5,0.0,1.7001628875732422,-1.3450384140014648,-0.5752531439065933,21.75,0.0,1.512765884399414,-1.119375228881836,-0.5752531439065933,13.5,0.0,1.971602439880371,-1.2263059616088867,-0.5752531439065933,18.75,0.0,2.1611452102661133,-1.179814338684082,-0.5752531439065933,12.25,0.0,1.6293525695800781,-1.1790990829467773,0.0,12.25,0.0,1.7766952514648438,-1.2230873107910156,0.0,27.0,,,,,,,,,,,,,,,
0.0,-1.5284346342086792,1.4716683626174927,0.0064797066152095795,-1.5410830974578857,-1.919815182685852,0.023363202810287476,-0.8324068188667297,-1.0085642337799072,0.022345494478940964,0.0,1.4677047729492188,-1.1730194091796875,-0.19175104796886444,15.5,0.0,1.5052556991577148,-1.2946128845214844,-0.19175104796886444,15.5,0.0,1.7420053482055664,-1.2656450271606445,0.19175104796886444,19.25,0.0,1.9594430923461914,-1.1980533599853516,-0.3835020959377289,16.0,0.0,1.6336441040039062,-1.1830329895019531,0.0,12.75,0.0,1.7648935317993164,-1.2377500534057617,0.0,27.5,,,,,,,,,,,,,,,,,,,,
