Session_ID,Recording_Number,Sequence_Number,Frame_count,tid,posy,posz,vely,velz,accy,accz,pointy0,pointz0,snr0,pointy1,pointz1,snr1,pointy2,pointz2,snr2,pointy3,pointz3,snr3,pointy4,pointz4,snr4,pointy5,pointz5,snr5,pointy6,pointz6,snr6,pointy7,pointz7,snr7,pointy8,pointz8,snr8,pointy9,pointz9,snr9,pointy10,pointz10,snr10,pointy11,pointz11,snr11,pointy12,pointz12,snr12,pointy13,pointz13,snr13,pointy14,pointz14,snr14,pointy15,pointz15,snr15,pointy16,pointz16,snr16,pointy17,pointz17,snr17,pointy18,pointz18,snr18,pointy19,pointz19,snr19,pointy20,pointz20,snr20,pointy21,pointz21,snr21,pointy22,pointz22,snr22,pointy23,pointz23,snr23,pointy24,pointz24,snr24,pointy25,pointz25,snr25,pointy26,pointz26,snr26,pointy27,pointz27,snr27,pointy28,pointz28,snr28,pointy29,pointz29,snr29,pointy30,pointz30,snr30,pointy31,pointz31,snr31,pointy32,pointz32,snr32,pointy33,pointz33,snr33,pointy34,pointz34,snr34,pointy35,pointz35,snr35,pointy36,pointz36,snr36,pointy37,pointz37,snr37,pointy38,pointz38,snr38,pointy39,pointz39,snr39,pointy40,pointz40,snr40,pointy41,pointz41,snr41,pointy42,pointz42,snr42,pointy43,pointz43,snr43,pointy44,pointz44,snr44,pointy45,pointz45,snr45,pointy46,pointz46,snr46,pointy47,pointz47,snr47,pointy48,pointz48,snr48,pointy49,pointz49,snr49
162350,7,1,586,0,2.54,0.19,-0.04,-0.31,-0.14,-0.24,2.78,-0.84,10.5,3.09,-0.94,7.5,2.96,-0.8,11.5,2.63,0.0,14.5,2.51,0.32,19.0,2.43,0.51,17.75,2.32,0.55,9.0,3.33,1.15,5.0,3.31,1.57,8.75,2.81,-1.14,20.0,2.86,-1.13,22.5,2.91,-1.18,16.75,3.92,-0.92,4.0,3.63,-0.64,12.25,3.66,-0.83,10.75,2.38,0.36,15.25,2.47,0.33,24.25,2.5,0.34,26.0,3.45,0.47,10.25,3.27,1.85,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162350,7,2,587,0,2.54,0.18,-0.14,-0.28,-0.29,-0.2,2.93,-1.4,10.0,3.93,-0.89,5.75,2.94,-0.5,11.25,3.72,-0.83,8.0,3.93,-0.89,5.5,2.7,0.05,24.5,2.79,-0.03,18.75,2.62,0.12,24.0,2.46,0.37,19.5,2.27,0.55,14.5,3.22,1.2,5.75,3.23,1.2,6.0,3.34,1.52,8.0,3.37,1.72,6.5,3.85,-1.19,6.0,3.67,-0.88,11.25,3.44,-0.17,10.25,2.63,0.18,24.0,2.46,0.36,25.5,2.53,0.28,27.75,2.33,0.52,18.0,3.22,1.72,9.0,3.3,1.79,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162350,7,3,588,0,2.6,0.04,-0.02,-0.51,-0.11,-0.38,2.93,-0.96,14.5,3.19,-0.75,13.25,3.87,-1.11,5.25,3.68,-0.65,7.75,2.61,-0.22,24.75,2.66,-0.25,24.75,2.79,-0.12,16.25,2.48,0.02,20.0,3.5,-0.11,16.25,3.57,-0.09,14.5,2.29,0.29,16.25,3.93,-0.89,7.75,3.66,-0.59,13.5,2.65,0.06,24.75,3.55,-0.02,18.75,2.55,0.2,27.75,2.31,0.5,19.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162350,7,4,589,0,2.66,-0.2,0.12,-0.91,0.09,-0.71,2.66,-0.67,21.0,2.75,-0.8,19.75,2.86,-0.83,13.25,3.09,-0.8,4.75,3.72,-0.87,10.0,3.87,-1.11,9.0,2.56,-0.56,20.0,3.44,-0.77,7.25,3.61,-0.76,10.5,2.46,-0.38,16.0,2.33,-0.21,9.0,3.07,-1.01,15.5,3.87,-1.11,10.75,3.6,-0.25,19.75,2.66,-0.01,24.5,3.53,-0.08,19.75,2.31,0.48,19.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162350,7,5,590,0,2.71,-0.49,0.22,-1.35,0.22,-1.05,2.58,-0.99,17.25,2.71,-1.11,20.5,2.81,-1.04,15.0,3.01,-1.02,8.0,3.81,-1.31,4.5,2.41,-0.56,18.25,2.47,-0.59,19.25,3.4,-0.83,6.75,3.65,-0.94,7.75,2.33,-0.53,9.5,3.58,-0.81,9.75,3.15,-0.88,15.25,3.87,-1.11,9.5,3.66,-0.57,14.75,3.54,-0.16,20.5,3.58,-0.29,20.75,2.31,0.49,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162350,7,6,591,0,2.74,-0.7,0.24,-1.58,0.21,-1.17,2.87,-1.11,15.5,2.93,-1.25,12.5,2.4,-0.8,6.0,2.53,-0.79,12.75,2.65,-0.81,13.75,2.79,-0.94,15.0,3.0,-1.17,14.75,3.91,-0.96,9.25,3.68,-0.5,13.25,3.54,-0.12,20.25,3.58,-0.18,19.75,2.66,-0.08,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162350,7,7,592,0,2.78,-0.87,0.23,-1.68,0.13,-1.13,2.96,-1.16,10.75,2.56,-0.92,8.75,2.66,-0.94,14.25,2.79,-0.94,15.5,2.87,-1.06,16.25,3.3,-0.98,6.5,3.58,-0.82,8.25,3.67,-1.01,8.25,3.87,-1.13,4.75,2.86,-1.04,19.0,3.1,-0.96,14.75,2.8,-0.76,22.0,3.91,-0.98,10.0,3.67,-0.67,13.25,3.52,-0.13,19.5,3.58,-0.18,19.0,2.45,0.34,24.25,2.3,0.5,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162350,7,8,593,0,2.8,-0.96,0.19,-1.61,0.02,-0.93,2.55,-0.93,4.0,2.78,-0.87,12.5,2.94,-0.97,22.75,2.92,-0.81,20.0,3.11,-0.92,18.75,3.54,-0.01,21.5,3.6,-0.03,22.5,3.66,-0.04,15.5,4.02,0.28,5.0,2.85,-1.03,19.5,3.04,-1.12,13.75,2.79,-0.78,22.5,3.9,-0.99,9.75,3.68,-0.55,14.0,2.7,-0.24,24.75,3.54,-0.18,19.0,3.59,-0.24,19.25,2.59,0.03,25.5,2.44,0.36,22.75,2.29,0.5,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162350,7,9,594,0,2.82,-1.06,0.16,-1.55,-0.07,-0.76,2.63,-1.16,8.25,2.77,-1.11,13.75,2.84,-1.07,13.5,3.39,-0.24,11.0,3.58,0.04,19.0,3.63,0.08,20.75,3.7,0.07,16.25,4.03,-0.05,6.75,2.81,-0.75,22.5,3.17,-0.81,17.0,3.91,-0.95,10.25,3.51,-0.18,20.5,3.6,-0.15,21.0,3.7,-0.28,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162350,7,10,595,0,2.84,-1.09,0.08,-1.34,-0.23,-0.45,2.82,-1.46,10.75,2.8,-1.26,13.75,2.82,-0.64,7.5,2.86,-0.85,13.5,3.72,-0.86,6.25,2.82,-0.64,7.5,3.64,-0.72,6.0,2.84,-0.97,24.5,2.93,-0.99,26.0,3.91,-0.96,10.75,2.75,-0.42,22.0,3.69,-0.29,16.25,2.27,0.06,10.75,3.51,0.02,21.25,3.61,-0.06,22.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
