tid,posx,posy,posz,velx,vely,velz,accx,accy,accz,pointx1,pointy1,pointz1,doppler1,snr1,pointx2,pointy2,pointz2,doppler2,snr2,pointx3,pointy3,pointz3,doppler3,snr3,pointx4,pointy4,pointz4,doppler4,snr4,pointx5,pointy5,pointz5,doppler5,snr5,pointx6,pointy6,pointz6,doppler6,snr6,pointx7,pointy7,pointz7,doppler7,snr7,pointx8,pointy8,pointz8,doppler8,snr8,pointx9,pointy9,pointz9,doppler9,snr9,pointx10,pointy10,pointz10,doppler10,snr10,pointx11,pointy11,pointz11,doppler11,snr11,pointx12,pointy12,pointz12,doppler12,snr12,pointx13,pointy13,pointz13,doppler13,snr13,pointx14,pointy14,pointz14,doppler14,snr14
0.0,-0.2684333026409149,2.7641520500183105,0.0069112954661250114,-0.0790228396654129,-0.37429872155189514,0.026119571179151535,-0.43237802386283875,-0.22988712787628174,0.025604942813515663,0.0,2.851724624633789,-1.0972023010253906,-0.5752531439065933,22.0,0.0,2.763032913208008,-0.9216070175170898,-0.5752531439065933,22.5,0.0,2.996206283569336,-1.0045766830444336,-0.3835020959377289,13.75,0.0,2.656102180480957,-0.4502534866333008,0.19175104796886444,24.25,0.0,2.5320053100585938,-0.1055002212524414,-0.5752531439065933,21.75,0.0,2.5731325149536133,-0.20992755889892578,-0.5752531439065933,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.3343335688114166,2.709721803665161,0.006578035652637482,-0.21254323422908783,-0.45532330870628357,0.024686630815267563,-0.5032339692115784,-0.3249485492706299,0.0234576016664505,0.0,2.8967857360839844,-1.1955499649047852,-0.5752531439065933,13.25,0.0,2.786993980407715,-0.9058713912963867,-0.5752531439065933,24.5,0.0,2.8249025344848633,-1.041412353515625,-0.5752531439065933,20.75,0.0,2.7104616165161133,-0.5239248275756836,-0.5752531439065933,23.0,0.0,2.575993537902832,-0.12230873107910156,-0.5752531439065933,23.5,0.0,2.4704933166503906,0.07653236389160156,-0.5752531439065933,21.25,0.0,2.367854118347168,0.15807151794433594,-0.5752531439065933,14.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.37201863527297974,2.6373777389526367,0.006642667111009359,-0.2790828347206116,-0.567111074924469,0.023728402331471443,-0.5096890330314636,-0.45018404722213745,0.02167201228439808,0.0,2.589583396911621,-1.4330148696899414,-0.7670041918754578,21.75,0.0,2.8030872344970703,-1.225590705871582,-0.7670041918754578,18.5,0.0,3.007650375366211,-1.017451286315918,-0.5752531439065933,14.0,0.0,2.635359764099121,-0.6977319717407227,-0.7670041918754578,19.25,0.0,2.480149269104004,-0.23746490478515625,-0.3835020959377289,22.0,0.0,2.384662628173828,-0.10657310485839844,-0.9587552398443222,24.75,0.0,2.335667610168457,-0.037550926208496094,-0.9587552398443222,21.25,0.0,2.969026565551758,-1.5767812728881836,0.0,13.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.4855806827545166,2.577747344970703,0.006398925557732582,-0.4714917540550232,-0.6355465650558472,0.022480422630906105,-0.6271408796310425,-0.49323412775993347,0.019869940355420113,0.0,2.6013851165771484,-1.0793209075927734,-1.1505062878131866,24.5,0.0,2.648591995239258,-1.157999038696289,-0.5752531439065933,22.5,0.0,2.7794837951660156,-1.224517822265625,-0.3835020959377289,18.25,0.0,2.9414892196655273,-1.260995864868164,-0.3835020959377289,16.25,0.0,2.532362937927246,-0.6176233291625977,-0.5752531439065933,18.0,0.0,2.2687911987304688,0.051140785217285156,-0.3835020959377289,23.5,0.0,2.31170654296875,0.05793571472167969,-0.5752531439065933,23.5,0.0,2.877473831176758,-1.4340877532958984,0.0,17.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.6260485649108887,2.487576961517334,0.006450519431382418,-0.6789883971214294,-0.7739722728729248,0.021499963477253914,-0.7382020950317383,-0.6352421045303345,0.01825956627726555,0.0,2.620697021484375,-1.7734766006469727,-0.3835020959377289,12.25,0.0,2.6110410690307617,-1.4716386795043945,-1.1505062878131866,17.75,0.0,2.4079084396362305,-1.2127161026000977,-0.5752531439065933,22.25,0.0,2.4765729904174805,-1.2445449829101562,-1.1505062878131866,25.25,0.0,2.5402307510375977,-1.3207197189331055,-1.1505062878131866,21.0,0.0,2.153635025024414,-0.14770030975341797,-0.3835020959377289,21.0,0.0,2.296328544616699,-0.1283884048461914,-0.3835020959377289,15.25,0.0,2.8742551803588867,-1.7513036727905273,0.0,13.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.7970127463340759,2.3663201332092285,0.006058020982891321,-0.8927851319313049,-0.9851098656654358,0.019879555329680443,-0.8264214396476746,-0.8697911500930786,0.0163582693785429,0.0,2.1207332611083984,-1.2781620025634766,-1.1505062878131866,18.25,0.0,2.2995471954345703,-1.3328790664672852,-1.5340083837509155,23.5,0.0,2.3474693298339844,-1.4061927795410156,-1.5340083837509155,22.25,0.0,2.434372901916504,-1.445174217224121,-0.19175104796886444,20.25,0.0,2.6189088821411133,-1.4151334762573242,-0.19175104796886444,14.75,0.0,2.283453941345215,-0.8132457733154297,-1.1505062878131866,17.25,0.0,2.1468400955200195,-0.2599954605102539,-0.7670041918754578,20.5,0.0,2.8520822525024414,-1.8142461776733398,0.0,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.9333294034004211,2.2212812900543213,0.006013281177729368,-1.017653465270996,-1.190096139907837,0.01876012422144413,-0.8304479122161865,-1.0472893714904785,0.01483222097158432,0.0,2.034902572631836,-1.3053417205810547,-1.5340083837509155,26.0,0.0,2.0627975463867188,-1.4262199401855469,-1.5340083837509155,22.5,0.0,2.1364688873291016,-1.5292167663574219,-1.9175104796886444,17.0,0.0,2.343893051147461,-1.6100406646728516,0.19175104796886444,12.5,0.0,2.0384788513183594,-0.7556676864624023,-1.342257335782051,24.0,0.0,1.948714256286621,-0.5636215209960938,-1.342257335782051,18.75,0.0,2.7440786361694336,-1.6382932662963867,0.0,12.75,0.0,2.645730972290039,-1.2123584747314453,0.0,19.75,0.0,2.7397871017456055,-1.2552738189697266,0.0,17.75,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-1.0017399787902832,2.045469284057617,0.0059586213901638985,-0.956475555896759,-1.4527573585510254,0.017544975504279137,-0.6343475580215454,-1.3017807006835938,0.013286974281072617,0.0,1.8346309661865234,-1.3110637664794922,-2.3010125756263733,25.5,0.0,1.914381980895996,-1.392960548400879,-2.3010125756263733,27.5,0.0,1.947641372680664,-1.456618309020996,-2.3010125756263733,19.5,0.0,1.7173290252685547,-0.7570981979370117,-1.72575943171978,17.75,0.0,1.8156766891479492,-0.8161067962646484,-1.72575943171978,17.75,0.0,2.6242733001708984,-1.2305974960327148,0.0,19.75,0.0,2.697587013244629,-1.2756586074829102,0.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-1.1138877868652344,1.8673776388168335,0.006455765105783939,-1.028890609741211,-1.6424620151519775,0.01718233898282051,-0.6268524527549744,-1.3811850547790527,0.012350557371973991,0.0,1.4369487762451172,-1.0085105895996094,-0.19175104796886444,12.5,0.0,1.7316341400146484,-1.2656450271606445,-1.72575943171978,18.25,0.0,1.8786191940307617,-1.3511180877685547,-1.72575943171978,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-1.299660563468933,1.6715037822723389,0.006147421430796385,-1.2803751230239868,-1.7910759449005127,0.01591143198311329,-0.8306370377540588,-1.3540338277816772,0.011035153642296791,0.0,1.3418197631835938,-1.1647939682006836,0.3835020959377289,16.75,0.0,1.4115571975708008,-1.2323856353759766,0.3835020959377289,20.75,0.0,1.556396484375,-1.2502670288085938,-0.3835020959377289,22.0,0.0,1.6694068908691406,-1.2617111206054688,-0.3835020959377289,25.0,0.0,1.740574836730957,-1.3625621795654297,-0.3835020959377289,13.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
