tid,posx,posy,posz,velx,vely,velz,accx,accy,accz,pointx1,pointy1,pointz1,doppler1,snr1,pointx2,pointy2,pointz2,doppler2,snr2,pointx3,pointy3,pointz3,doppler3,snr3,pointx4,pointy4,pointz4,doppler4,snr4,pointx5,pointy5,pointz5,doppler5,snr5,pointx6,pointy6,pointz6,doppler6,snr6,pointx7,pointy7,pointz7,doppler7,snr7,pointx8,pointy8,pointz8,doppler8,snr8,pointx9,pointy9,pointz9,doppler9,snr9,pointx10,pointy10,pointz10,doppler10,snr10,pointx11,pointy11,pointz11,doppler11,snr11,pointx12,pointy12,pointz12,doppler12,snr12,pointx13,pointy13,pointz13,doppler13,snr13,pointx14,pointy14,pointz14,doppler14,snr14,pointx15,pointy15,pointz15,doppler15,snr15,pointx16,pointy16,pointz16,doppler16,snr16
0.0,-0.14817312359809875,3.028984308242798,0.05293562635779381,0.016392774879932404,-0.3351043462753296,-0.005856405012309551,0.0,0.0,0.0,0.0,3.0641555786132812,-1.188039779663086,-0.5752531439065933,25.0,0.0,3.130674362182617,-1.2856721878051758,-0.5752531439065933,20.0,0.0,3.2715797424316406,-1.2888908386230469,-0.5752531439065933,14.25,0.0,3.022313117980957,-0.7799863815307617,-0.5752531439065933,23.5,0.0,2.842426300048828,-0.11944770812988281,-0.7670041918754578,23.0,0.0,2.9085874557495117,-0.23639202117919922,-0.5752531439065933,24.25,0.0,2.761960029602051,-0.05435943603515625,-0.5752531439065933,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.15548504889011383,2.9824087619781494,0.05069956183433533,-0.07342606782913208,-0.46962523460388184,-0.022496771067380905,-0.006136038340628147,-0.07740038633346558,-0.0027226838283240795,0.0,3.1725168228149414,-1.237034797668457,-0.19175104796886444,17.75,0.0,3.3234357833862305,-1.2763738632202148,-0.19175104796886444,12.25,0.0,3.117084503173828,-0.973820686340332,-0.19175104796886444,20.75,0.0,3.0051469802856445,-0.7749795913696289,-0.7670041918754578,22.75,0.0,2.8928518295288086,-0.5121231079101562,-0.5752531439065933,21.75,0.0,2.780914306640625,-0.3286600112915039,-0.5752531439065933,21.25,0.0,2.7104616165161133,-0.21708011627197266,-0.5752531439065933,16.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.2350703626871109,2.9344499111175537,0.04168856143951416,-0.44260963797569275,-0.48044949769973755,-0.0571792796254158,-0.08141602575778961,-0.07778012752532959,-0.009440513327717781,0.0,3.0634403228759766,-1.4394521713256836,-0.9587552398443222,16.5,0.0,3.028750419616699,-1.2313127517700195,-0.9587552398443222,19.75,0.0,2.9937028884887695,-1.007080078125,-0.9587552398443222,21.0,0.0,2.830982208251953,-0.7256269454956055,-1.1505062878131866,18.0,0.0,2.6650428771972656,-0.4781484603881836,-0.7670041918754578,21.0,0.0,2.5534629821777344,-0.34117698669433594,-0.7670041918754578,12.25,0.0,2.6181936264038086,-0.38444995880126953,-0.7670041918754578,20.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.3525683879852295,2.8475465774536133,0.029214531183242798,-0.7010330557823181,-0.6687706708908081,-0.08206716179847717,-0.13143637776374817,-0.43105632066726685,-0.019984789192676544,0.0,2.8166770935058594,-1.3239383697509766,-1.5340083837509155,18.25,0.0,2.95257568359375,-1.4094114303588867,-1.5340083837509155,16.75,0.0,3.0666589736938477,-1.4712810516357422,0.19175104796886444,15.5,0.0,2.428293228149414,-0.7760524749755859,-0.9587552398443222,14.5,0.0,2.7430057525634766,-0.8965730667114258,-1.5340083837509155,19.5,0.0,2.55739688873291,-0.6644725799560547,-0.9587552398443222,21.0,0.0,2.636075019836426,-0.6805658340454102,-0.7670041918754578,22.0,0.0,3.239750862121582,-1.443028450012207,0.0,14.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.5750944018363953,2.734036922454834,0.01631946489214897,-1.117860198020935,-0.9047515392303467,-0.09701062738895416,-0.2527084946632385,-0.8474259376525879,-0.0273602157831192,0.0,1.999497413635254,-1.2731552124023438,-0.19175104796886444,21.25,0.0,2.1657943725585938,-1.1140108108520508,-0.19175104796886444,27.0,0.0,2.7054548263549805,-1.3375282287597656,-1.9175104796886444,12.75,0.0,2.3299455642700195,-0.9480714797973633,-1.342257335782051,26.25,0.0,2.5005340576171875,-0.9434223175048828,-0.9587552398443222,22.5,0.0,2.6085376739501953,-1.1597871780395508,0.9587552398443222,19.25,0.0,2.012014389038086,-1.1851787567138672,0.0,15.0,0.0,3.213644027709961,-1.502394676208496,0.0,14.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.8506007790565491,2.6084094047546387,0.004895205143839121,-1.5207399129867554,-1.0763745307922363,-0.10362780094146729,-0.46528053283691406,-0.9487752318382263,-0.03019564412534237,0.0,2.3206472396850586,-1.3418197631835938,-1.1505062878131866,17.0,0.0,2.4955272674560547,-1.4269351959228516,-0.7670041918754578,13.25,0.0,2.2383928298950195,-1.053929328918457,-1.1505062878131866,21.25,0.0,2.115011215209961,-0.948786735534668,-1.5340083837509155,21.25,0.0,2.16829776763916,-0.9645223617553711,-1.5340083837509155,24.25,0.0,2.0341873168945312,-1.1519193649291992,0.0,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-1.0118540525436401,2.4582343101501465,-0.0019085861276835203,-1.556904911994934,-1.305221438407898,-0.09858900308609009,-0.38995587825775146,-1.1936070919036865,-0.023940470069646835,0.0,2.056717872619629,-0.9981393814086914,-0.19175104796886444,18.5,0.0,2.1189451217651367,-1.0131597518920898,-0.5752531439065933,20.0,0.0,2.247333526611328,-1.111149787902832,-0.5752531439065933,15.75,0.0,2.476930618286133,-1.1730194091796875,-0.5752531439065933,15.75,0.0,2.651810646057129,-1.1394023895263672,-0.5752531439065933,12.75,0.0,2.062082290649414,-1.0524988174438477,0.0,16.25,0.0,3.1986236572265625,-1.5510320663452148,0.0,14.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-1.1509318351745605,2.3247551918029785,-0.008015202358365059,-1.563233494758606,-1.410824179649353,-0.09339741617441177,-0.37245672941207886,-1.1654977798461914,-0.018065311014652252,0.0,3.2150745391845703,-2.19118595123291,-0.19175104796886444,17.0,0.0,3.46219539642334,-2.0592212677001953,-0.19175104796886444,18.0,0.0,3.3402442932128906,-0.8869171142578125,-0.19175104796886444,17.75,0.0,3.5387277603149414,-0.6161928176879883,-0.19175104796886444,13.0,0.0,3.037691116333008,-0.02682209014892578,-0.5752531439065933,19.5,0.0,3.0988454818725586,-0.08046627044677734,-0.19175104796886444,22.75,0.0,3.2072067260742188,-0.07581710815429688,-0.19175104796886444,19.0,0.0,2.9071569442749023,0.21135807037353516,-0.5752531439065933,12.25,0.0,3.5344362258911133,-1.9326210021972656,0.0,14.25,0.0,3.395676612854004,-1.6293525695800781,0.0,17.75,0.0,3.409266471862793,-1.2023448944091797,0.0,20.5,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.12038346379995346,3.1372854709625244,-0.0006191832944750786,-0.21643808484077454,-0.2302504926919937,-0.0012932117097079754,-0.46076610684394836,-0.0446186438202858,-0.0005431712488643825,0.0,3.4303665161132812,-1.1168718338012695,-0.5752531439065933,19.75,0.0,3.50797176361084,-1.2845993041992188,-0.7670041918754578,16.75,0.0,3.36456298828125,-0.9140968322753906,-0.5752531439065933,21.5,0.0,3.2193660736083984,-0.6333589553833008,-0.3835020959377289,20.5,0.0,2.982616424560547,0.032901763916015625,-0.3835020959377289,24.0,0.0,3.048062324523926,-0.04971027374267578,-0.3835020959377289,23.5,0.0,2.9096603393554688,0.1291036605834961,-0.5752531439065933,17.75,0.0,3.467559814453125,-2.0502805709838867,0.0,14.25,0.0,3.39353084564209,-1.2688636779785156,0.0,20.25,0.0,2.926468849182129,0.1920461654663086,0.0,17.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.25680670142173767,3.1268296241760254,-0.0005400332156568766,-0.45327305793762207,-0.26447179913520813,-0.0011152902152389288,-0.6217940449714661,-0.1164659634232521,-0.00041559914825484157,0.0,3.3838748931884766,-1.1347532272338867,-0.5752531439065933,13.25,0.0,3.257632255554199,-0.8869171142578125,-0.5752531439065933,17.75,0.0,3.1299591064453125,-0.653386116027832,-0.3835020959377289,23.75,0.0,3.0562877655029297,-0.2682209014892578,-0.3835020959377289,27.0,0.0,2.93576717376709,0.01895427703857422,-0.5752531439065933,19.25,0.0,3.000497817993164,-0.0858306884765625,-0.5752531439065933,26.5,0.0,3.46219539642334,-2.0595788955688477,0.0,14.25,0.0,3.3878087997436523,-1.273512840270996,0.0,20.25,0.0,3.448963165283203,-1.4920234680175781,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
