tid,posx,posy,posz,velx,vely,velz,accx,accy,accz,pointx1,pointy1,pointz1,doppler1,snr1,pointx2,pointy2,pointz2,doppler2,snr2,pointx3,pointy3,pointz3,doppler3,snr3,pointx4,pointy4,pointz4,doppler4,snr4,pointx5,pointy5,pointz5,doppler5,snr5,pointx6,pointy6,pointz6,doppler6,snr6,pointx7,pointy7,pointz7,doppler7,snr7,pointx8,pointy8,pointz8,doppler8,snr8,pointx9,pointy9,pointz9,doppler9,snr9,pointx10,pointy10,pointz10,doppler10,snr10,pointx11,pointy11,pointz11,doppler11,snr11,pointx12,pointy12,pointz12,doppler12,snr12,pointx13,pointy13,pointz13,doppler13,snr13,pointx14,pointy14,pointz14,doppler14,snr14,pointx15,pointy15,pointz15,doppler15,snr15
0.0,3.877203133982746e-21,3.172222375869751,-0.21939164400100708,-2.802746086153654e-20,-0.17439860105514526,-0.17519116401672363,-1.657940719959908e-20,-0.2577182650566101,-0.14518073201179504,0.0,3.2851696014404297,-1.0221004486083984,-0.3835020959377289,21.25,0.0,3.3899545669555664,-1.0614395141601562,-0.19175104796886444,15.75,0.0,3.2308101654052734,-0.46563148498535156,-0.3835020959377289,20.25,0.0,3.0684471130371094,0.04756450653076172,-0.3835020959377289,18.75,0.0,3.1174421310424805,0.01609325408935547,-0.3835020959377289,21.75,0.0,3.493666648864746,-1.2413263320922852,0.0,13.25,0.0,3.432154655456543,-1.0002851486206055,0.0,22.25,0.0,3.3742189407348633,-0.7621049880981445,0.0,24.5,0.0,3.149271011352539,0.031113624572753906,0.0,26.75,0.0,3.2422542572021484,0.010013580322265625,0.0,25.5,0.0,3.085970878601074,0.13589859008789062,0.0,21.75,,,,,,,,,,,,,,,,,,,,
0.0,8.852864155138266e-22,3.1424484252929688,-0.25577783584594727,-2.989012296698964e-20,-0.24391376972198486,-0.21942751109600067,-1.673243561292139e-20,-0.33476555347442627,-0.16769874095916748,0.0,3.2351016998291016,-1.2395381927490234,-0.19175104796886444,24.0,0.0,3.2765865325927734,-1.4491081237792969,-0.5752531439065933,19.5,0.0,3.448605537414551,-1.3997554779052734,-0.19175104796886444,16.0,0.0,3.209352493286133,-0.6562471389770508,-0.19175104796886444,23.0,0.0,3.0902624130249023,-0.06186962127685547,-0.5752531439065933,24.5,0.0,2.9397010803222656,0.23174285888671875,-0.5752531439065933,14.25,0.0,3.025174140930176,0.14269351959228516,-0.5752531439065933,23.0,0.0,3.232240676879883,-0.07474422454833984,0.0,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-1.508445838037491e-21,3.1114883422851562,-0.2993556261062622,-3.06523149714947e-20,-0.3142956495285034,-0.2686571478843689,-1.613912739387066e-20,-0.40875691175460815,-0.19113826751708984,0.0,3.219723701477051,-0.75531005859375,-0.3835020959377289,24.0,0.0,3.355264663696289,-0.766754150390625,-0.3835020959377289,24.0,0.0,3.472566604614258,-0.6494522094726562,-0.19175104796886444,18.5,0.0,3.0434131622314453,-0.18131732940673828,-0.5752531439065933,24.75,0.0,2.9211044311523438,0.004291534423828125,-0.5752531439065933,21.5,0.0,2.954721450805664,-0.04398822784423828,-0.5752531439065933,26.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-3.1797533604877297e-21,3.0650486946105957,-0.37567558884620667,-3.0250499064249997e-20,-0.415613055229187,-0.3652903437614441,-1.481333297094575e-20,-0.5188701152801514,-0.2502184510231018,0.0,3.2808780670166016,-1.1386871337890625,-0.3835020959377289,16.75,0.0,3.209352493286133,-0.8608102798461914,-0.3835020959377289,30.0,0.0,3.2258033752441406,-0.937342643737793,-0.5752531439065933,25.0,0.0,3.121018409729004,-0.6430149078369141,-0.3835020959377289,24.25,0.0,2.7834177017211914,0.06330013275146484,-0.7670041918754578,13.75,0.0,2.8499364852905273,-0.010013580322265625,-0.7670041918754578,24.0,0.0,2.9075145721435547,-0.011086463928222656,-0.7670041918754578,24.75,0.0,3.110647201538086,0.017881393432617188,0.0,25.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-4.404218158374893e-21,3.003659725189209,-0.3677773177623749,-2.918617934100994e-20,-0.5479437112808228,-0.2979487478733063,-1.3115604540404614e-20,-0.669472336769104,-0.15669748187065125,0.0,3.275156021118164,-1.0349750518798828,-0.5752531439065933,18.0,0.0,3.3506155014038086,-1.2248754501342773,-0.3835020959377289,16.25,0.0,3.188967704772949,-0.8032321929931641,-0.5752531439065933,21.5,0.0,3.031611442565918,-0.32722949981689453,-0.9587552398443222,22.0,0.0,2.864241600036621,0.0514984130859375,-0.9587552398443222,26.75,0.0,2.7430057525634766,0.15985965728759766,-0.9587552398443222,21.0,0.0,2.8045177459716797,0.10335445404052734,-0.9587552398443222,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-5.556198831706396e-21,2.937832832336426,-0.40289413928985596,-2.799107460810701e-20,-0.6587494015693665,-0.31401512026786804,-1.1439355340808581e-20,-0.7542856335639954,-0.14914752542972565,0.0,3.081679344177246,-2.056717872619629,-0.9587552398443222,13.0,0.0,3.1392574310302734,-1.7774105072021484,-0.9587552398443222,17.75,0.0,3.200411796569824,-1.4004707336425781,-0.5752531439065933,16.5,0.0,3.170013427734375,-0.9101629257202148,-0.7670041918754578,16.5,0.0,3.083467483520508,-0.502467155456543,-0.7670041918754578,18.0,0.0,2.8960704803466797,-0.19562244415283203,-0.7670041918754578,16.5,0.0,2.670407295227051,0.041484832763671875,-0.9587552398443222,17.75,0.0,2.7272701263427734,-0.023245811462402344,-0.9587552398443222,19.5,0.0,3.2132863998413086,-1.8764734268188477,0.0,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-6.041553922367204e-21,2.8388681411743164,-0.4540941119194031,-2.5877410038770947e-20,-0.8262634873390198,-0.35020971298217773,-9.243701340014603e-21,-0.9041372537612915,-0.15477046370506287,0.0,3.040909767150879,-1.554250717163086,-0.3835020959377289,15.0,0.0,3.022313117980957,-1.1698007583618164,-0.9587552398443222,15.75,0.0,2.9636621475219727,-0.9223222732543945,-0.9587552398443222,20.75,0.0,2.838134765625,-0.6004571914672852,-0.9587552398443222,19.5,0.0,2.5731325149536133,-0.08475780487060547,-1.1505062878131866,26.25,0.0,2.645730972290039,-0.2027750015258789,-1.1505062878131866,23.0,0.0,2.54058837890625,-0.011801719665527344,-1.1505062878131866,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-6.634970789652689e-21,2.7395436763763428,-0.5235116481781006,-2.4012119373051003e-20,-0.9468523859977722,-0.4211966097354889,-7.360260360638943e-21,-0.9461053609848022,-0.20022052526474,0.0,2.942204475402832,-2.440810203552246,-0.7670041918754578,12.25,0.0,3.161787986755371,-1.750946044921875,-0.7670041918754578,12.5,0.0,3.161787986755371,-1.4090538024902344,-0.7670041918754578,13.75,0.0,2.545595169067383,-0.7925033569335938,-0.9587552398443222,13.5,0.0,2.4433135986328125,-0.37479400634765625,-0.9587552398443222,19.0,0.0,2.368927001953125,-0.09691715240478516,-0.9587552398443222,15.25,0.0,2.407550811767578,-0.19991397857666016,-0.9587552398443222,21.25,0.0,3.2014846801757812,-1.9104480743408203,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-6.4736665312370135e-21,2.631714344024658,-0.729570209980011,-2.1208586172845717e-20,-1.0530728101730347,-0.7295877933502197,-4.976338759958188e-21,-0.9427980780601501,-0.45908868312835693,0.0,2.693653106689453,-1.268148422241211,-1.5340083837509155,14.75,0.0,2.840280532836914,-1.3965368270874023,-1.72575943171978,15.5,0.0,2.9489994049072266,-1.440882682800293,-0.19175104796886444,16.75,0.0,3.017306327819824,-1.5631914138793945,-0.19175104796886444,15.5,0.0,2.3403167724609375,-0.9473562240600586,-0.5752531439065933,19.5,0.0,2.490520477294922,-1.0167360305786133,-0.5752531439065933,15.75,0.0,2.338528633117676,-0.6387233734130859,-0.5752531439065933,19.25,0.0,2.3059844970703125,-0.2002716064453125,-0.9587552398443222,14.75,0.0,3.1718015670776367,-1.9676685333251953,0.0,14.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-6.511182483969918e-21,2.4958927631378174,-0.9777179956436157,-1.8828551674809108e-20,-1.1725817918777466,-1.0999088287353516,-3.0264151583324956e-21,-0.931389331817627,-0.7666339874267578,0.0,2.002716064453125,-1.0900497436523438,-0.19175104796886444,26.75,0.0,2.0302534103393555,-1.210927963256836,0.19175104796886444,27.5,0.0,2.6990175247192383,-1.5063285827636719,-2.109261527657509,13.75,0.0,2.843499183654785,-1.580357551574707,-0.19175104796886444,13.25,0.0,2.209782600402832,-1.1830329895019531,0.19175104796886444,25.25,0.0,2.4286508560180664,-1.120448112487793,0.19175104796886444,21.75,0.0,2.598881721496582,-1.2230873107910156,-1.1505062878131866,14.0,0.0,1.9533634185791016,-1.2667179107666016,0.0,26.0,0.0,3.162503242492676,-2.003788948059082,0.0,12.0,0.0,3.049135208129883,-0.7767677307128906,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,
