tid,posx,posy,posz,velx,vely,velz,accx,accy,accz,pointx1,pointy1,pointz1,doppler1,snr1,pointx2,pointy2,pointz2,doppler2,snr2,pointx3,pointy3,pointz3,doppler3,snr3,pointx4,pointy4,pointz4,doppler4,snr4,pointx5,pointy5,pointz5,doppler5,snr5,pointx6,pointy6,pointz6,doppler6,snr6,pointx7,pointy7,pointz7,doppler7,snr7,pointx8,pointy8,pointz8,doppler8,snr8,pointx9,pointy9,pointz9,doppler9,snr9,pointx10,pointy10,pointz10,doppler10,snr10,pointx11,pointy11,pointz11,doppler11,snr11,pointx12,pointy12,pointz12,doppler12,snr12,pointx13,pointy13,pointz13,doppler13,snr13,pointx14,pointy14,pointz14,doppler14,snr14
0.0,-0.19122934341430664,3.067913055419922,-0.013464506715536118,-0.3688494861125946,-0.4466657042503357,-0.0888172909617424,-0.14461810886859894,-0.6309054493904114,-0.025198766961693764,0.0,2.993345260620117,0.0890493392944336,-0.5752531439065933,18.25,0.0,2.922177314758301,0.23639202117919922,-0.5752531439065933,21.25,0.0,2.8624534606933594,0.3147125244140625,-0.5752531439065933,18.0,0.0,3.38137149810791,-0.813603401184082,0.0,25.25,0.0,3.1539201736450195,0.030755996704101562,0.0,28.25,0.0,3.230452537536621,-0.030755996704101562,0.0,26.75,0.0,3.0813217163085938,0.13875961303710938,0.0,22.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.21937140822410583,3.0150816440582275,-0.015089806169271469,-0.3625585734844208,-0.5332892537117004,-0.07740786671638489,-0.12120163440704346,-0.6730299592018127,-0.01207854226231575,0.0,3.189682960510254,-1.4437437057495117,-0.5752531439065933,21.25,0.0,3.185749053955078,-1.44195556640625,-0.5752531439065933,21.0,0.0,3.293752670288086,-1.4090538024902344,-0.7670041918754578,17.75,0.0,3.1442642211914062,-0.8611679077148438,-0.5752531439065933,19.25,0.0,3.040909767150879,-0.12981891632080078,-0.5752531439065933,24.0,0.0,2.9064416885375977,0.08046627044677734,-0.5752531439065933,18.5,0.0,2.9854774475097656,-0.02002716064453125,-0.5752531439065933,24.25,0.0,2.956867218017578,0.080108642578125,0.0,17.25,0.0,3.0498504638671875,0.022172927856445312,0.0,26.25,0.0,3.1131505966186523,-0.01609325408935547,0.0,29.0,,,,,,,,,,,,,,,,,,,,
0.0,-0.21004696190357208,2.960285186767578,-0.013152404688298702,-0.2833039164543152,-0.6101670265197754,-0.06027457118034363,-0.0283588245511055,-0.6984122395515442,0.005213441327214241,0.0,3.2297372817993164,-1.616835594177246,-0.7670041918754578,14.5,0.0,3.3223628997802734,-0.8643865585327148,-0.5752531439065933,14.5,0.0,3.2358169555664062,-0.6290674209594727,-0.7670041918754578,18.25,0.0,2.8377771377563477,0.08046627044677734,-0.5752531439065933,23.5,0.0,2.869248390197754,0.008940696716308594,-0.5752531439065933,24.75,0.0,3.004789352416992,-0.0711679458618164,-0.7670041918754578,17.75,0.0,2.7480125427246094,0.17702579498291016,-0.5752531439065933,15.75,0.0,3.3556222915649414,-0.9098052978515625,0.0,23.75,0.0,3.0355453491210938,0.03039836883544922,0.0,26.25,0.0,3.0927658081054688,0.011444091796875,0.0,28.0,0.0,3.209710121154785,-0.08940696716308594,0.0,24.5,0.0,2.943277359008789,0.09906291961669922,0.0,17.75,,,,,,,,,,
0.0,-0.25019434094429016,2.886720895767212,-0.012394758872687817,-0.3052971065044403,-0.7120223045349121,-0.0464060977101326,-0.0441286638379097,-0.7476699948310852,0.018110355362296104,0.0,3.0258893966674805,-0.9888410568237305,-0.9587552398443222,17.0,0.0,2.8831958770751953,-0.27680397033691406,-0.7670041918754578,27.5,0.0,2.965092658996582,-0.400543212890625,-0.5752531439065933,23.75,0.0,2.7140378952026367,0.06580352783203125,-0.7670041918754578,22.0,0.0,2.7991533279418945,-0.05078315734863281,-0.7670041918754578,26.75,0.0,3.349900245666504,-0.9001493453979492,0.0,22.5,0.0,3.232240676879883,-0.43523311614990234,0.0,23.25,0.0,2.914309501647949,-0.13053417205810547,0.0,20.75,0.0,2.9883384704589844,-0.03826618194580078,0.0,26.75,0.0,3.072381019592285,-0.003933906555175781,0.0,26.25,,,,,,,,,,,,,,,,,,,,
0.0,-0.47860556840896606,2.774737596511841,-0.009668974205851555,-0.6770879030227661,-0.9648208618164062,-0.027514224871993065,-0.3861962556838989,-1.0341498851776123,0.035853706300258636,0.0,3.082752227783203,-1.8024444580078125,-0.19175104796886444,12.0,0.0,3.056645393371582,-1.3818740844726562,-1.72575943171978,15.5,0.0,2.86102294921875,-0.8944272994995117,-0.7670041918754578,26.5,0.0,2.9178857803344727,-1.0149478912353516,-0.7670041918754578,26.75,0.0,3.005862236022949,-1.0703802108764648,-1.72575943171978,22.75,0.0,2.816319465637207,-0.46956539154052734,-1.342257335782051,22.25,0.0,2.720475196838379,-0.29647350311279297,-1.342257335782051,16.0,0.0,3.187894821166992,-0.7274150848388672,0.0,22.0,0.0,2.893209457397461,-0.12123584747314453,0.0,21.25,0.0,2.9751062393188477,-0.06794929504394531,0.0,27.0,0.0,3.0487775802612305,-0.057220458984375,0.0,25.5,,,,,,,,,,,,,,,
0.0,-0.6562252640724182,2.6626052856445312,-0.006997810211032629,-0.9109306335449219,-1.1406081914901733,-0.012688949704170227,-0.5602185726165771,-1.1543595790863037,0.04661145061254501,0.0,2.9175281524658203,-1.3446807861328125,-0.9587552398443222,20.0,0.0,2.9865503311157227,-1.5442371368408203,-0.19175104796886444,16.5,0.0,2.844572067260742,-1.1719465255737305,-0.9587552398443222,23.75,0.0,2.7480125427246094,-0.9949207305908203,-0.9587552398443222,25.0,0.0,2.558469772338867,-0.5979537963867188,-1.1505062878131866,25.5,0.0,2.6679039001464844,-0.6254911422729492,-1.1505062878131866,26.0,0.0,2.509474754333496,-0.23317337036132812,-1.72575943171978,20.75,0.0,2.76947021484375,-0.4552602767944336,0.0,24.25,0.0,2.931833267211914,-0.21207332611083984,0.0,26.25,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.8693134188652039,2.511399269104004,-0.004799071233719587,-1.1676609516143799,-1.3791415691375732,-0.0003931061364710331,-0.7235258221626282,-1.33951735496521,0.053962592035532,0.0,1.9294023513793945,-1.2627840042114258,0.19175104796886444,23.75,0.0,2.1811723709106445,-1.0371208190917969,-1.72575943171978,26.75,0.0,2.8728246688842773,-1.4029741287231445,-0.5752531439065933,19.0,0.0,3.0122995376586914,-1.5385150909423828,-0.5752531439065933,15.75,0.0,2.7562379837036133,-1.0567903518676758,-1.5340083837509155,24.25,0.0,2.8209686279296875,-1.1533498764038086,-1.5340083837509155,22.75,0.0,2.4193525314331055,-0.8121728897094727,-1.72575943171978,26.25,0.0,2.6006698608398438,-0.9541511535644531,-1.72575943171978,24.75,0.0,2.019524574279785,-1.1959075927734375,0.0,19.75,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-1.0491578578948975,2.389202117919922,-0.00237093074247241,-1.3852986097335815,-1.4805355072021484,0.00917677953839302,-0.8768075108528137,-1.2993508577346802,0.05748342350125313,0.0,2.80916690826416,-1.637578010559082,-0.3835020959377289,21.5,0.0,2.9021501541137695,-1.6654729843139648,-0.3835020959377289,16.5,0.0,2.235889434814453,-1.0156631469726562,-0.7670041918754578,22.0,0.0,2.369999885559082,-1.237034797668457,-1.72575943171978,12.75,0.0,2.7118921279907227,-1.3350248336791992,-0.3835020959377289,13.0,0.0,2.824544906616211,-1.4662742614746094,-0.3835020959377289,19.75,0.0,2.199411392211914,-0.8547306060791016,-0.7670041918754578,25.0,0.0,2.1840333938598633,-0.46312808990478516,-0.7670041918754578,24.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-1.2547533512115479,2.260859966278076,-0.00038746336940675974,-1.6181743144989014,-1.5862103700637817,0.01632755808532238,-1.0247828960418701,-1.276148796081543,0.058601584285497665,0.0,2.0896196365356445,-1.3107061386108398,-0.19175104796886444,23.75,0.0,2.164006233215332,-1.338958740234375,0.3835020959377289,25.5,0.0,2.256631851196289,-1.3439655303955078,-0.7670041918754578,20.0,0.0,2.7909278869628906,-1.5099048614501953,-0.9587552398443222,15.5,0.0,2.8864145278930664,-1.569986343383789,-0.9587552398443222,17.5,0.0,2.053499221801758,-1.0575056076049805,-0.19175104796886444,17.75,0.0,2.7916431427001953,-1.5102624893188477,-0.9587552398443222,15.25,0.0,3.0330419540405273,-1.5739202499389648,-0.9587552398443222,16.0,0.0,3.1932592391967773,-1.589655876159668,0.3835020959377289,12.75,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-1.3782118558883667,2.128620147705078,0.001323726144619286,-1.644587755203247,-1.6377876996994019,0.02142900787293911,-0.9658477306365967,-1.1840081214904785,0.05788305029273033,0.0,2.048492431640625,-1.349329948425293,-0.3835020959377289,18.25,0.0,2.259492874145508,-1.2416839599609375,-0.7670041918754578,19.5,0.0,1.9415616989135742,-0.9402036666870117,-0.19175104796886444,14.75,0.0,2.4400949478149414,-1.1250972747802734,-0.19175104796886444,14.5,0.0,2.5513172149658203,-1.2363195419311523,-0.19175104796886444,12.25,0.0,3.110647201538086,-1.317143440246582,0.0,15.0,0.0,2.1532773971557617,-0.6573200225830078,0.0,25.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
