Session_ID,Recording_Number,Sequence_Number,Frame_count,tid,posy,posz,vely,velz,accy,accz,pointy0,pointz0,snr0,pointy1,pointz1,snr1,pointy2,pointz2,snr2,pointy3,pointz3,snr3,pointy4,pointz4,snr4,pointy5,pointz5,snr5,pointy6,pointz6,snr6,pointy7,pointz7,snr7,pointy8,pointz8,snr8,pointy9,pointz9,snr9,pointy10,pointz10,snr10,pointy11,pointz11,snr11,pointy12,pointz12,snr12,pointy13,pointz13,snr13,pointy14,pointz14,snr14,pointy15,pointz15,snr15,pointy16,pointz16,snr16,pointy17,pointz17,snr17,pointy18,pointz18,snr18,pointy19,pointz19,snr19,pointy20,pointz20,snr20,pointy21,pointz21,snr21,pointy22,pointz22,snr22,pointy23,pointz23,snr23,pointy24,pointz24,snr24,pointy25,pointz25,snr25,pointy26,pointz26,snr26,pointy27,pointz27,snr27,pointy28,pointz28,snr28,pointy29,pointz29,snr29,pointy30,pointz30,snr30,pointy31,pointz31,snr31,pointy32,pointz32,snr32,pointy33,pointz33,snr33,pointy34,pointz34,snr34,pointy35,pointz35,snr35,pointy36,pointz36,snr36,pointy37,pointz37,snr37,pointy38,pointz38,snr38,pointy39,pointz39,snr39,pointy40,pointz40,snr40,pointy41,pointz41,snr41,pointy42,pointz42,snr42,pointy43,pointz43,snr43,pointy44,pointz44,snr44,pointy45,pointz45,snr45,pointy46,pointz46,snr46,pointy47,pointz47,snr47,pointy48,pointz48,snr48,pointy49,pointz49,snr49
180026,35,11,1770,0,2.85,-1.51,-0.15,-1.13,-0.3,-0.23,2.73,-1.06,5.0,2.77,-1.29,22.5,3.49,-1.09,7.0,3.72,-1.17,11.0,3.88,-1.07,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180026,35,12,1771,0,2.84,-1.62,-0.18,-1.16,-0.3,-0.23,2.82,-1.42,17.75,2.6,-0.99,6.75,2.75,-1.12,24.0,2.78,-1.22,22.75,3.54,-0.93,6.5,3.71,-1.1,9.75,3.88,-1.07,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180026,35,13,1772,0,2.84,-1.64,-0.18,-1.03,-0.29,-0.11,2.78,-1.0,4.25,2.86,-1.34,18.25,2.71,-1.07,17.25,2.75,-1.14,23.25,2.78,-1.24,22.25,2.61,-0.94,4.25,3.67,-1.19,9.75,3.53,-0.99,7.0,3.87,-1.13,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180026,35,14,1773,0,2.82,-1.75,-0.21,-1.04,-0.29,-0.11,2.72,-1.08,17.5,2.76,-1.13,23.75,3.65,-1.22,10.5,3.85,-1.19,9.0,3.52,-1.01,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180026,35,15,1774,0,2.8,-1.85,-0.24,-1.06,-0.29,-0.11,2.72,-1.09,17.0,2.76,-1.14,23.25,2.81,-1.22,23.0,3.09,-1.26,10.25,3.5,-1.08,8.75,3.63,-1.22,11.0,3.83,-1.26,7.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180026,35,16,1775,0,2.77,-1.96,-0.27,-1.07,-0.29,-0.11,3.04,-1.29,10.5,3.64,-1.25,6.0,3.47,-0.96,4.25,3.88,-1.09,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180026,35,17,1776,0,2.74,-2.06,-0.3,-1.08,0.0,0.0,3.44,-1.07,4.5,3.67,-1.17,7.0,3.9,-0.99,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180026,35,18,1777,0,2.71,-2.17,-0.3,-1.08,0.0,0.0,2.8,-1.05,22.0,2.88,-1.08,22.75,2.93,-1.19,20.0,3.4,-1.2,4.75,3.63,-1.24,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180026,35,19,1778,0,2.68,-2.28,-0.3,-1.08,0.0,0.0,2.87,-1.12,24.0,2.74,-0.99,17.25,2.82,-1.01,22.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180026,35,20,1779,0,2.65,-2.39,-0.3,-1.08,0.0,0.0,2.71,-1.05,15.5,2.8,-1.06,20.5,2.87,-1.12,22.0,2.94,-1.16,19.25,3.1,-1.09,8.5,3.72,-1.03,5.0,3.92,-0.92,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
