tid,posx,posy,posz,velx,vely,velz,accx,accy,accz,pointx1,pointy1,pointz1,doppler1,snr1,pointx2,pointy2,pointz2,doppler2,snr2,pointx3,pointy3,pointz3,doppler3,snr3,pointx4,pointy4,pointz4,doppler4,snr4,pointx5,pointy5,pointz5,doppler5,snr5,pointx6,pointy6,pointz6,doppler6,snr6,pointx7,pointy7,pointz7,doppler7,snr7,pointx8,pointy8,pointz8,doppler8,snr8,pointx9,pointy9,pointz9,doppler9,snr9,pointx10,pointy10,pointz10,doppler10,snr10,pointx11,pointy11,pointz11,doppler11,snr11,pointx12,pointy12,pointz12,doppler12,snr12,pointx13,pointy13,pointz13,doppler13,snr13,pointx14,pointy14,pointz14,doppler14,snr14,pointx15,pointy15,pointz15,doppler15,snr15
0.0,0.0019776246044784784,3.1072118282318115,-0.5687881708145142,0.018406063318252563,-0.1930120587348938,-0.24202264845371246,0.02942107804119587,-0.39272430539131165,-0.06001725792884827,0.0,3.0394792556762695,-1.9376277923583984,-0.3835020959377289,14.5,0.0,3.423929214477539,-1.6264915466308594,-0.3835020959377289,12.25,0.0,3.236532211303711,-1.0181665420532227,-0.3835020959377289,18.75,0.0,3.1549930572509766,-0.7356405258178711,-0.3835020959377289,22.25,0.0,3.0663013458251953,-0.32007694244384766,-0.3835020959377289,24.0,0.0,2.9876232147216797,-0.13589859008789062,-0.3835020959377289,23.75,0.0,2.914309501647949,-0.015735626220703125,-0.3835020959377289,18.25,0.0,3.330230712890625,-1.0689496994018555,0.0,28.0,0.0,3.251194953918457,-0.6880760192871094,0.0,24.75,0.0,3.0323266983032227,0.01609325408935547,0.0,24.0,0.0,3.1006336212158203,-0.028967857360839844,0.0,25.75,0.0,2.9447078704833984,0.10764598846435547,0.0,15.5,,,,,,,,,,,,,,,
0.0,0.0024870396591722965,3.055943727493286,-0.5995135307312012,0.01861000247299671,-0.3402039110660553,-0.24509723484516144,0.027384737506508827,-0.5642895698547363,-0.0410681888461113,0.0,3.0645132064819336,-1.8142461776733398,-0.5752531439065933,17.5,0.0,3.129243850708008,-1.360774040222168,-0.5752531439065933,20.25,0.0,3.130316734313965,-0.9988546371459961,-0.5752531439065933,23.5,0.0,3.0698776245117188,-0.6172657012939453,-0.5752531439065933,22.0,0.0,2.8688907623291016,-0.1283884048461914,-0.7670041918754578,18.25,0.0,2.9511451721191406,-0.21708011627197266,-0.7670041918754578,21.25,0.0,3.3320188522338867,-1.0628700256347656,0.0,27.75,0.0,3.2444000244140625,-0.7206201553344727,0.0,25.0,0.0,2.9304027557373047,-0.025033950805664062,0.0,17.0,0.0,3.018021583557129,-0.0057220458984375,0.0,24.25,0.0,3.097057342529297,-0.060439109802246094,0.0,25.5,,,,,,,,,,,,,,,,,,,,
0.0,0.00278279697522521,3.0066604614257812,-0.5622385740280151,0.018314477056264877,-0.4430912137031555,-0.12680956721305847,0.025226494297385216,-0.6475921869277954,0.07127093523740768,0.0,2.9500722885131836,-0.9834766387939453,-0.19175104796886444,16.25,0.0,3.125309944152832,-0.9881258010864258,-0.5752531439065933,17.75,0.0,3.257274627685547,-1.0052919387817383,-0.3835020959377289,12.75,0.0,2.7544498443603516,-0.05650520324707031,-0.7670041918754578,12.5,0.0,2.8238296508789062,-0.0514984130859375,-0.7670041918754578,20.75,0.0,2.853512763977051,-0.04363059997558594,-0.7670041918754578,20.25,0.0,3.333449363708496,-1.0578632354736328,0.0,27.0,0.0,3.232598304748535,-0.8726119995117188,0.0,25.0,0.0,2.8917789459228516,0.001430511474609375,0.0,20.0,0.0,2.9851198196411133,0.007152557373046875,0.0,24.5,0.0,3.0841827392578125,-0.044345855712890625,0.0,25.0,,,,,,,,,,,,,,,,,,,,
0.0,0.002828027820214629,2.9581921100616455,-0.6815792918205261,0.017766978591680527,-0.5420066118240356,-0.3061363697052002,0.023179451003670692,-0.6965574622154236,-0.07795881479978561,0.0,3.3098459243774414,-2.296328544616699,-1.1505062878131866,12.25,0.0,3.3130645751953125,-1.855015754699707,-0.9587552398443222,15.5,0.0,2.9540061950683594,-1.1780261993408203,-0.5752531439065933,26.25,0.0,2.9783248901367188,-1.2745857238769531,-0.19175104796886444,25.75,0.0,3.1435489654541016,-1.2019872665405273,-0.19175104796886444,19.5,0.0,3.2701492309570312,-1.4777183532714844,-0.7670041918754578,15.25,0.0,2.913951873779297,-0.3522634506225586,-0.7670041918754578,20.25,0.0,2.7687549591064453,-0.10192394256591797,-0.3835020959377289,23.0,0.0,2.7333498001098633,-0.06008148193359375,-0.3835020959377289,17.5,0.0,2.9522180557250977,0.03933906555175781,0.0,23.5,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0032742207404226065,2.879298686981201,-0.7416754364967346,0.017585720866918564,-0.707409143447876,-0.3444913327693939,0.02149895764887333,-0.8532637357711792,-0.0806225910782814,0.0,2.9060840606689453,-1.1154413223266602,-0.9587552398443222,22.0,0.0,3.151416778564453,-1.2449026107788086,-1.1505062878131866,13.25,0.0,3.0455589294433594,-1.0074377059936523,-1.1505062878131866,18.75,0.0,2.876400947570801,-0.8268356323242188,-0.9587552398443222,18.25,0.0,2.8156042098999023,-0.4380941390991211,-0.5752531439065933,16.0,0.0,2.9518604278564453,0.05328655242919922,0.0,23.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0032041107770055532,2.768662214279175,-0.9084564447402954,0.016635674983263016,-0.9118748307228088,-0.5636371374130249,0.01951141469180584,-1.0207138061523438,-0.23247289657592773,0.0,2.945423126220703,-1.6018152236938477,0.19175104796886444,16.25,0.0,3.0755996704101562,-1.804947853088379,-1.72575943171978,12.5,0.0,2.575993537902832,-1.0489225387573242,-0.7670041918754578,24.0,0.0,2.754807472229004,-1.097559928894043,-1.342257335782051,25.25,0.0,2.869248390197754,-1.1758804321289062,-1.342257335782051,27.0,0.0,2.9071569442749023,-1.3142824172973633,-1.342257335782051,21.5,0.0,2.521634101867676,-0.9015798568725586,-0.7670041918754578,21.75,0.0,3.1224489212036133,-1.335740089416504,0.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.003339757677167654,2.6410858631134033,-0.9794639348983765,0.01598157361149788,-1.1058951616287231,-0.5854729413986206,0.01787201501429081,-1.1594674587249756,-0.2043481469154358,0.0,2.730846405029297,-1.2481212615966797,-1.5340083837509155,18.5,0.0,2.877473831176758,-1.3704299926757812,-1.5340083837509155,14.0,0.0,2.4701356887817383,-0.9380578994750977,-1.1505062878131866,24.75,0.0,2.533435821533203,-1.0936260223388672,-0.5752531439065933,26.25,0.0,2.6210546493530273,-1.1769533157348633,-1.5340083837509155,25.25,0.0,2.392888069152832,-0.834345817565918,-1.1505062878131866,19.0,0.0,1.6722679138183594,-1.4154911041259766,0.0,20.0,0.0,3.1017065048217773,-1.3507604598999023,0.0,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.003492095973342657,2.4687793254852295,-1.036067008972168,0.015299515798687935,-1.358961820602417,-0.5666524171829224,0.016336539760231972,-1.3559160232543945,-0.13286256790161133,0.0,1.9834041595458984,-1.1733770370483398,-1.9175104796886444,22.0,0.0,2.204418182373047,-1.016378402709961,-1.9175104796886444,25.75,0.0,2.2895336151123047,-1.051783561706543,-1.9175104796886444,26.0,0.0,2.38037109375,-1.1601448059082031,-0.9587552398443222,21.0,0.0,2.569913864135742,-1.2173652648925781,-0.9587552398443222,13.25,0.0,1.855015754699707,-1.2631416320800781,0.0,22.25,0.0,2.9947757720947266,-1.222372055053711,0.0,22.5,0.0,3.0906200408935547,-1.3300180435180664,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0035169692710042,2.3079824447631836,-1.070719599723816,0.01457168348133564,-1.547286868095398,-0.5213455557823181,0.014932931400835514,-1.4381718635559082,-0.06274709850549698,0.0,2.468705177307129,-1.3965368270874023,-0.3835020959377289,13.0,0.0,2.24912166595459,-1.154780387878418,-1.9175104796886444,19.5,0.0,2.387881278991699,-1.2488365173339844,-1.9175104796886444,18.5,0.0,2.1028518676757812,-0.8389949798583984,-2.109261527657509,21.5,0.0,2.159714698791504,-0.9369850158691406,-0.7670041918754578,21.5,0.0,1.7938613891601562,-1.2778043746948242,0.0,25.0,0.0,3.0670166015625,-1.8467903137207031,0.0,12.5,0.0,3.275156021118164,-1.9279718399047852,0.0,12.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.004006468690931797,2.1656789779663086,-1.185670018196106,0.014764741994440556,-1.6091707944869995,-0.6802350878715515,0.014235567301511765,-1.2962168455123901,-0.23807591199874878,0.0,2.2051334381103516,-1.3039112091064453,-0.19175104796886444,21.0,0.0,2.2745132446289062,-1.382589340209961,-0.19175104796886444,16.5,0.0,1.9966363906860352,-0.9187459945678711,-0.5752531439065933,20.25,0.0,2.1042823791503906,-1.1243820190429688,-0.3835020959377289,19.5,0.0,1.8013715744018555,-1.2760162353515625,0.0,24.5,0.0,3.0469894409179688,-1.8807649612426758,0.0,12.5,0.0,3.0902624130249023,-1.295328140258789,0.0,17.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.196621689014137e-05,3.0002281665802,-0.6319905519485474,0.00013706300524063408,-0.40500274300575256,-0.031860142946243286,5.653736661770381e-05,-0.42879801988601685,0.21827015280723572,0.0,3.1256675720214844,-1.4147758483886719,-0.5752531439065933,15.0,0.0,3.240823745727539,-1.5621185302734375,-0.19175104796886444,13.5,0.0,3.1213760375976562,-1.4129877090454102,-0.5752531439065933,14.75,0.0,3.051638603210449,-1.0979175567626953,-0.5752531439065933,17.75,0.0,3.002285957336426,-0.7181167602539062,-0.7670041918754578,20.75,0.0,2.869248390197754,-0.13339519500732422,-0.7670041918754578,21.5,0.0,2.7033090591430664,0.009298324584960938,-0.5752531439065933,20.75,0.0,2.7523040771484375,-0.032901763916015625,-0.5752531439065933,24.0,0.0,2.817392349243164,0.01609325408935547,0.0,24.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,5.888322266400792e-05,2.919135808944702,-0.7064765095710754,0.00012128530943300575,-0.5478878021240234,-0.12732194364070892,4.344762783148326e-05,-0.5621826648712158,0.12872058153152466,0.0,2.85494327545166,-1.312851905822754,-0.7670041918754578,22.0,0.0,2.739071846008301,-1.198410987854004,-0.9587552398443222,17.5,0.0,2.9518604278564453,-1.3082027435302734,-0.7670041918754578,19.0,0.0,3.117084503173828,-1.3293027877807617,-0.5752531439065933,13.5,0.0,2.652883529663086,-0.24712085723876953,-0.5752531439065933,18.25,0.0,2.7115345001220703,-0.2503395080566406,-0.7670041918754578,19.75,0.0,3.440380096435547,-1.4355182647705078,0.0,12.25,0.0,2.8020143508911133,-0.04363059997558594,0.0,23.75,0.0,2.8553009033203125,-0.03612041473388672,0.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,5.686834629159421e-05,2.835474967956543,-0.7608985304832458,0.00010758594726212323,-0.6679031848907471,-0.18174386024475098,3.241614467697218e-05,-0.6463947296142578,0.07918914407491684,0.0,2.871394157409668,-1.1562108993530273,-1.342257335782051,16.75,0.0,2.9801130294799805,-1.3049840927124023,-0.5752531439065933,13.75,0.0,2.7877092361450195,-0.8783340454101562,-0.7670041918754578,17.5,0.0,2.6618242263793945,-0.7048845291137695,-0.5752531439065933,17.25,0.0,2.5702714920043945,-0.5578994750976562,-0.5752531439065933,16.25,0.0,3.4189224243164062,-1.488804817199707,0.0,12.25,0.0,2.708315849304199,-0.10800361633300781,0.0,18.0,0.0,2.7970075607299805,-0.050067901611328125,0.0,23.25,0.0,2.8617382049560547,-0.06008148193359375,0.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.702176374848932e-05,2.697200298309326,-0.9154238700866699,8.4677740233019e-05,-0.8635997176170349,-0.4057760238647461,1.6407791918027215e-05,-0.7922353744506836,-0.10987382382154465,0.0,1.8693208694458008,-1.2516975402832031,-0.19175104796886444,19.0,0.0,2.7791261672973633,-1.3132095336914062,-1.72575943171978,14.0,0.0,2.9668807983398438,-1.4058351516723633,-0.19175104796886444,14.25,0.0,2.51162052154541,-0.9659528732299805,-0.5752531439065933,21.0,0.0,2.6178359985351562,-1.1515617370605469,-1.72575943171978,16.25,0.0,3.136754035949707,-1.3450384140014648,-0.19175104796886444,13.5,0.0,2.3277997970581055,-0.8139610290527344,-0.9587552398443222,22.0,0.0,2.421140670776367,-0.8440017700195312,-0.9587552398443222,24.0,0.0,1.6654729843139648,-1.4051198959350586,0.0,22.25,0.0,2.765536308288574,-0.11658668518066406,0.0,22.5,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.405293657328002e-05,2.559797763824463,-1.0202239751815796,7.174488564487547e-05,-1.0138893127441406,-0.5297292470932007,7.452267709595617e-06,-0.8592231869697571,-0.20573799312114716,0.0,1.9218921661376953,-1.1444091796875,-0.19175104796886444,18.75,0.0,2.2945404052734375,-1.1487007141113281,-0.19175104796886444,21.0,0.0,2.4243593215942383,-1.181960105895996,-0.19175104796886444,18.75,0.0,2.5380849838256836,-1.267075538635254,-2.109261527657509,13.25,0.0,2.240896224975586,-0.8972883224487305,-1.72575943171978,20.0,0.0,1.668691635131836,-1.3761520385742188,0.0,23.0,0.0,2.458333969116211,-0.8429288864135742,0.0,22.0,0.0,2.7369260787963867,-0.22673606872558594,0.0,22.25,0.0,2.8492212295532227,-0.2607107162475586,0.0,18.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.0042556065600365e-05,2.427910804748535,-1.1666239500045776,5.8417688705958426e-05,-1.103776454925537,-0.7399675846099854,-1.0437152013764717e-06,-0.8166983127593994,-0.39585334062576294,0.0,2.06601619720459,-1.2384653091430664,-0.19175104796886444,23.0,0.0,2.22015380859375,-1.2792348861694336,-0.19175104796886444,24.25,0.0,2.3299455642700195,-1.2878179550170898,-0.19175104796886444,21.5,0.0,2.429366111755371,-1.3439655303955078,-0.19175104796886444,13.0,0.0,2.0009279251098633,-1.0335445404052734,-0.19175104796886444,21.75,0.0,1.774907112121582,-1.2720823287963867,0.0,22.25,0.0,3.2007694244384766,-1.2127161026000977,0.0,14.5,0.0,2.692580223083496,-0.4076957702636719,0.0,22.0,0.0,2.828836441040039,-0.37801265716552734,0.0,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.517360528348945e-05,2.2826435565948486,-1.2271013259887695,4.468175393412821e-05,-1.2228789329528809,-0.756214439868927,-9.47165972320363e-06,-0.8493887782096863,-0.37645310163497925,0.0,2.235889434814453,-1.4823675155639648,-0.3835020959377289,14.25,0.0,2.0399093627929688,-1.1587142944335938,-1.1505062878131866,17.0,0.0,2.2194385528564453,-1.2989044189453125,-0.3835020959377289,17.75,0.0,1.8357038497924805,-0.8518695831298828,-0.7670041918754578,17.25,0.0,1.8839836120605469,-0.9377002716064453,-0.7670041918754578,21.25,0.0,1.774907112121582,-1.2123584747314453,0.0,23.75,0.0,3.037691116333008,-1.2592077255249023,0.0,14.75,0.0,2.6689767837524414,-0.5178451538085938,0.0,18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
