Session_ID,Recording_Number,Sequence_Number,Frame_count,tid,posy,posz,vely,velz,accy,accz,pointy0,pointz0,snr0,pointy1,pointz1,snr1,pointy2,pointz2,snr2,pointy3,pointz3,snr3,pointy4,pointz4,snr4,pointy5,pointz5,snr5,pointy6,pointz6,snr6,pointy7,pointz7,snr7,pointy8,pointz8,snr8,pointy9,pointz9,snr9,pointy10,pointz10,snr10,pointy11,pointz11,snr11,pointy12,pointz12,snr12,pointy13,pointz13,snr13,pointy14,pointz14,snr14,pointy15,pointz15,snr15,pointy16,pointz16,snr16,pointy17,pointz17,snr17,pointy18,pointz18,snr18,pointy19,pointz19,snr19,pointy20,pointz20,snr20,pointy21,pointz21,snr21,pointy22,pointz22,snr22,pointy23,pointz23,snr23,pointy24,pointz24,snr24,pointy25,pointz25,snr25,pointy26,pointz26,snr26,pointy27,pointz27,snr27,pointy28,pointz28,snr28,pointy29,pointz29,snr29,pointy30,pointz30,snr30,pointy31,pointz31,snr31,pointy32,pointz32,snr32,pointy33,pointz33,snr33,pointy34,pointz34,snr34,pointy35,pointz35,snr35,pointy36,pointz36,snr36,pointy37,pointz37,snr37,pointy38,pointz38,snr38,pointy39,pointz39,snr39,pointy40,pointz40,snr40,pointy41,pointz41,snr41,pointy42,pointz42,snr42,pointy43,pointz43,snr43,pointy44,pointz44,snr44,pointy45,pointz45,snr45,pointy46,pointz46,snr46,pointy47,pointz47,snr47,pointy48,pointz48,snr48,pointy49,pointz49,snr49
172925,1,11,187,0,2.61,-1.37,-0.16,-0.86,-0.19,-0.03,2.81,-1.09,8.5,2.69,-0.94,8.0,2.77,-0.97,11.25,2.65,-1.1,26.5,3.28,-1.11,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172925,1,12,188,0,2.59,-1.46,-0.09,-0.43,0.0,0.0,2.53,-1.03,21.5,2.59,-1.04,27.0,2.64,-1.1,26.5,2.85,-1.25,9.75,3.28,-1.14,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172934,2,1,221,0,2.56,0.0,-0.11,-0.32,-0.23,-0.9,2.39,-1.3,18.5,2.46,-1.39,14.0,2.57,-1.55,9.5,2.32,-1.07,17.0,2.9,-1.46,7.0,2.03,-0.78,7.0,2.1,-0.8,18.75,2.2,-0.8,18.25,3.39,-0.94,5.5,3.64,-0.69,9.0,3.74,-0.63,9.0,3.95,-0.78,4.5,2.8,-1.4,15.0,3.76,-0.42,17.75,2.48,-0.1,32.0,2.57,-0.22,21.75,2.45,0.01,32.25,3.59,-0.1,11.75,3.72,-0.09,18.0,2.16,0.13,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172934,2,2,222,0,2.62,-0.16,-0.01,-0.6,-0.08,-1.05,2.24,-1.22,18.75,2.42,-1.2,18.5,2.53,-1.23,13.25,2.71,-1.3,7.25,2.11,-0.88,18.0,2.18,-0.95,19.0,3.02,-1.32,6.25,3.29,-1.17,7.25,3.5,-1.05,7.25,3.66,-1.03,6.75,2.57,-0.34,21.75,3.6,-0.2,13.0,3.75,-0.32,18.75,3.72,-0.05,19.25,2.16,0.12,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172934,2,3,223,0,2.72,-0.7,0.26,-1.47,0.25,-1.69,2.34,-1.08,25.5,2.4,-1.12,23.25,2.48,-1.21,16.25,2.68,-1.25,6.25,2.22,-0.96,9.5,2.3,-1.04,21.5,3.41,-1.47,5.25,3.52,-1.5,7.0,3.09,-1.0,4.0,3.85,-1.19,4.0,2.59,-1.26,17.25,2.56,-0.42,22.25,2.49,-0.29,31.0,3.61,-0.16,13.25,3.72,-0.18,19.75,3.75,-0.31,19.5,2.12,0.12,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172934,2,4,224,0,2.66,-0.93,0.06,-1.73,-0.05,-1.72,2.2,-1.06,5.0,2.29,-1.17,21.25,2.34,-1.19,28.0,2.39,-1.2,27.25,2.49,-1.2,21.0,2.64,-1.25,11.0,2.9,-1.35,4.75,3.38,-0.91,5.0,3.55,-1.02,6.0,3.74,-0.9,7.75,3.93,-0.91,5.75,2.52,-1.25,14.5,3.03,-1.16,8.5,3.63,-0.15,13.25,3.72,-0.1,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172934,2,5,225,0,2.64,-1.06,-0.04,-1.75,-0.19,-1.56,2.39,-0.98,8.5,2.49,-1.09,19.5,2.54,-1.12,24.5,2.58,-1.11,22.25,2.72,-1.03,12.75,2.99,-1.0,4.25,3.61,-1.33,5.5,2.59,-1.16,19.75,2.97,-1.19,7.75,3.63,-0.09,14.25,3.72,-0.09,20.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172934,2,6,226,0,2.61,-1.12,-0.19,-1.61,-0.43,-1.21,2.63,-1.22,21.0,2.71,-1.43,4.75,2.57,-1.03,21.5,2.61,-1.08,29.5,2.6,-1.13,29.25,3.45,-1.29,4.0,2.46,-0.9,5.25,2.45,-0.98,28.25,2.52,-1.07,29.0,2.58,-1.12,23.25,2.66,-1.2,14.5,2.91,-1.23,7.75,3.63,0.02,11.75,3.71,0.01,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172934,2,7,227,0,2.57,-1.22,-0.32,-1.54,-0.6,-0.97,2.45,-1.17,18.75,2.49,-1.21,23.25,2.53,-1.23,21.25,2.64,-1.28,13.0,2.38,-1.04,6.5,2.96,-1.23,5.75,3.24,-1.19,6.25,2.38,-1.14,27.25,2.49,-1.14,29.25,2.18,-0.86,16.5,2.56,-1.15,24.0,2.67,-1.19,13.75,3.01,-1.05,9.0,3.4,-0.95,9.5,3.66,-0.81,13.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172934,2,8,228,0,2.53,-1.34,-0.39,-1.56,-0.63,-0.9,2.6,-1.44,20.5,2.6,-1.4,16.0,2.36,-0.94,6.5,2.39,-1.01,13.25,2.4,-1.11,28.0,2.49,-1.14,30.0,2.66,-1.21,16.0,2.56,-1.13,24.25,3.0,-1.06,8.75,3.61,-0.88,12.5,3.71,-0.88,13.5,3.9,-1.0,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
