tid,posx,posy,posz,velx,vely,velz,accx,accy,accz,pointx1,pointy1,pointz1,doppler1,snr1,pointx2,pointy2,pointz2,doppler2,snr2,pointx3,pointy3,pointz3,doppler3,snr3,pointx4,pointy4,pointz4,doppler4,snr4,pointx5,pointy5,pointz5,doppler5,snr5,pointx6,pointy6,pointz6,doppler6,snr6,pointx7,pointy7,pointz7,doppler7,snr7,pointx8,pointy8,pointz8,doppler8,snr8,pointx9,pointy9,pointz9,doppler9,snr9,pointx10,pointy10,pointz10,doppler10,snr10,pointx11,pointy11,pointz11,doppler11,snr11,pointx12,pointy12,pointz12,doppler12,snr12,pointx13,pointy13,pointz13,doppler13,snr13,pointx14,pointy14,pointz14,doppler14,snr14,pointx15,pointy15,pointz15,doppler15,snr15,pointx16,pointy16,pointz16,doppler16,snr16,pointx17,pointy17,pointz17,doppler17,snr17
0.0,-1.877081194834318e-05,3.335010528564453,-0.1597307175397873,-9.241957013728097e-05,-0.17864933609962463,1.2521170377731323,-2.693661008379422e-05,-0.23757404088974,0.689537525177002,0.0,3.7658214569091797,-1.4301538467407227,-0.19175104796886444,12.25,0.0,3.3702850341796875,-0.6612539291381836,-0.19175104796886444,21.0,0.0,3.2025575637817383,-0.1881122589111328,-0.19175104796886444,22.25,0.0,3.058791160583496,0.05507469177246094,-0.3835020959377289,27.5,0.0,2.9489994049072266,0.12767314910888672,-0.3835020959377289,19.25,0.0,3.0105113983154297,0.10085105895996094,-0.3835020959377289,27.25,0.0,3.4825801849365234,-1.3647079467773438,0.0,18.25,0.0,3.4464597702026367,-1.0582208633422852,0.0,24.5,0.0,3.349184989929199,-0.834345817565918,0.0,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-2.206944554927759e-05,3.2700748443603516,-0.04964559152722359,-8.817474008537829e-05,-0.28680574893951416,1.2761515378952026,-2.331598625460174e-05,-0.33798056840896606,0.6527165174484253,0.0,3.0194520950317383,-1.759171485900879,-0.5752531439065933,21.25,0.0,3.1603574752807617,-1.6486644744873047,-0.5752531439065933,17.5,0.0,3.1893253326416016,-0.4037618637084961,-0.19175104796886444,19.5,0.0,3.07309627532959,-0.08976459503173828,-0.5752531439065933,23.25,0.0,2.9064416885375977,0.25391578674316406,-0.5752531439065933,16.75,0.0,2.9883384704589844,0.15592575073242188,-0.5752531439065933,22.75,0.0,3.3745765686035156,-1.2928247451782227,0.0,24.5,0.0,3.447890281677246,-1.4491081237792969,0.0,18.5,0.0,3.3109188079833984,-1.056075096130371,0.0,26.25,0.0,3.2215118408203125,-0.17130374908447266,0.0,27.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-2.3326239897869527e-05,3.214280605316162,-0.03899144381284714,-8.220819290727377e-05,-0.36029189825057983,1.1342226266860962,-1.902535223052837e-05,-0.3743225336074829,0.48804932832717896,0.0,3.37064266204834,-1.0700225830078125,-0.19175104796886444,15.0,0.0,3.307342529296875,-0.8701086044311523,-0.19175104796886444,21.0,0.0,3.2300949096679688,-0.5568265914916992,-0.19175104796886444,21.75,0.0,2.979755401611328,0.03933906555175781,-0.3835020959377289,24.0,0.0,3.070950508117676,-0.05221366882324219,-1.1505062878131866,23.5,0.0,2.9114484786987305,0.11479854583740234,-0.3835020959377289,18.25,0.0,3.4378767013549805,-1.5882253646850586,0.0,17.0,0.0,3.3295154571533203,-0.8100271224975586,0.0,25.0,0.0,3.480076789855957,-0.8783340454101562,0.0,19.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-2.5026143703144044e-05,3.1412997245788574,0.006469331681728363,-7.667046884307638e-05,-0.4550030827522278,1.0571296215057373,-1.5133067790884525e-05,-0.4379095435142517,0.38629865646362305,0.0,3.3055543899536133,-1.2742280960083008,-0.19175104796886444,14.5,0.0,3.140687942504883,-0.9391307830810547,-0.3835020959377289,25.75,0.0,3.1936168670654297,-1.0553598403930664,-0.3835020959377289,20.75,0.0,3.078460693359375,-0.6819963455200195,0.19175104796886444,24.0,0.0,2.960801124572754,-0.11515617370605469,-0.9587552398443222,22.5,0.0,2.7469396591186523,0.20563602447509766,-0.9587552398443222,12.75,0.0,2.8399229049682617,0.15592575073242188,-0.9587552398443222,20.75,0.0,3.4450292587280273,-1.0703802108764648,0.0,19.5,0.0,3.3191442489624023,-0.845789909362793,0.0,24.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-2.4415166990365833e-05,3.067181348800659,-0.027256980538368225,-6.891018711030483e-05,-0.5411641597747803,0.8515865802764893,-1.0279397429258097e-05,-0.485962450504303,0.18861326575279236,0.0,3.195047378540039,-1.2624263763427734,-0.7670041918754578,16.5,0.0,3.317713737487793,-1.39617919921875,-0.5752531439065933,14.75,0.0,3.5791397094726562,-1.2105703353881836,-0.9587552398443222,12.5,0.0,3.0580759048461914,-0.8082389831542969,-0.9587552398443222,20.0,0.0,3.173947334289551,-0.8057355880737305,-0.9587552398443222,19.5,0.0,2.891063690185547,-0.14483928680419922,-0.3835020959377289,16.25,0.0,2.6907920837402344,0.13124942779541016,-0.7670041918754578,18.25,0.0,2.7208328247070312,0.1226663589477539,-0.3835020959377289,21.0,0.0,3.5691261291503906,-1.222372055053711,0.0,13.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-2.489669896021951e-05,3.007829427719116,-0.0660502091050148,-6.293492333497852e-05,-0.5746219754219055,0.6622098684310913,-6.6454222178435884e-06,-0.4581732749938965,0.02185504138469696,0.0,3.0498504638671875,-1.1644363403320312,-1.1505062878131866,24.25,0.0,3.116011619567871,-1.2559890747070312,-0.7670041918754578,19.5,0.0,3.2358169555664062,-1.3808012008666992,-0.5752531439065933,12.25,0.0,3.0183792114257812,-0.9115934371948242,-1.1505062878131866,25.5,0.0,2.93576717376709,-0.4438161849975586,-0.3835020959377289,22.75,0.0,2.6793479919433594,-0.11336803436279297,-0.3835020959377289,18.5,0.0,2.7823448181152344,-0.015735626220703125,-0.3835020959377289,21.0,0.0,3.5326480865478516,-1.3250112533569336,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-2.62147714238381e-05,2.9437050819396973,-0.12254638969898224,-5.8330726460553706e-05,-0.5784785151481628,0.4621962308883667,-3.963491508329753e-06,-0.3792889714241028,-0.1393543928861618,0.0,2.8220415115356445,-1.2985467910766602,-1.72575943171978,23.25,0.0,2.9447078704833984,-1.363992691040039,-2.109261527657509,18.25,0.0,3.0798912048339844,-1.485586166381836,0.19175104796886444,15.5,0.0,3.257274627685547,-1.5410184860229492,-1.1505062878131866,13.75,0.0,2.742648124694824,-1.122593879699707,-1.1505062878131866,22.25,0.0,2.5191307067871094,-0.4724264144897461,-0.3835020959377289,14.0,0.0,2.584218978881836,-0.4717111587524414,-0.3835020959377289,20.75,0.0,2.67791748046875,-0.5886554718017578,-0.3835020959377289,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-2.814567596942652e-05,2.8793957233428955,-0.20525412261486053,-5.453134508570656e-05,-0.5968052744865417,0.2336190640926361,-1.7997303984884638e-06,-0.34238457679748535,-0.3130466639995575,0.0,2.7118921279907227,-1.318216323852539,-1.9175104796886444,16.25,0.0,2.545952796936035,-1.0914802551269531,-1.342257335782051,23.0,0.0,2.651095390319824,-1.1647939682006836,-1.342257335782051,21.75,0.0,2.5033950805664062,-0.8776187896728516,0.19175104796886444,21.5,0.0,2.4726390838623047,-0.5532503128051758,-0.9587552398443222,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-2.8738750188495032e-05,2.7865710258483887,-0.2957516014575958,-4.9184691306436434e-05,-0.6755499839782715,0.011273279786109924,1.1244264896959066e-06,-0.38964903354644775,-0.468492716550827,0.0,2.590656280517578,-1.5331506729125977,-1.1505062878131866,13.25,0.0,2.4014711380004883,-1.087188720703125,-1.5340083837509155,23.75,0.0,2.434372901916504,-1.216292381286621,-1.5340083837509155,25.5,0.0,2.4944543838500977,-1.3142824172973633,-1.5340083837509155,21.0,0.0,3.0466318130493164,-1.6472339630126953,0.3835020959377289,13.0,0.0,2.3964643478393555,-1.0846853256225586,-1.5340083837509155,23.5,0.0,2.376437187194824,-0.7470846176147461,-0.9587552398443222,19.0,0.0,2.2770166397094727,-0.6108283996582031,-0.9587552398443222,13.25,0.0,2.054929733276367,-1.2288093566894531,0.0,20.25,0.0,3.234744071960449,-1.0832548141479492,0.0,18.25,0.0,2.9268264770507812,-0.2853870391845703,0.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-2.4721684894757345e-05,2.7058513164520264,-0.661668062210083,-3.94016424252186e-05,-0.7098981142044067,-0.6322802901268005,6.14365717410692e-06,-0.376840740442276,-0.944693386554718,0.0,2.01416015625,-1.1036396026611328,-1.5340083837509155,18.0,0.0,2.2537708282470703,-1.0385513305664062,-1.5340083837509155,20.5,0.0,2.3674964904785156,-1.131892204284668,-0.19175104796886444,26.0,0.0,2.418637275695801,-1.1626482009887695,-0.19175104796886444,26.0,0.0,2.499103546142578,-1.2298822402954102,-0.3835020959377289,17.75,0.0,1.7287731170654297,-1.427292823791504,0.0,23.75,0.0,1.9909143447875977,-1.3436079025268555,0.0,22.25,0.0,3.182530403137207,-1.2077093124389648,0.0,17.75,0.0,2.465486526489258,-0.9062290191650391,0.0,25.0,0.0,2.8628110885620117,-0.527501106262207,0.0,20.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
