tid,posy,posz,vely,velz,accy,accz,pointx1,pointy1,pointz1,doppler1,snr1,pointx2,pointy2,pointz2,doppler2,snr2,pointx3,pointy3,pointz3,doppler3,snr3,pointx4,pointy4,pointz4,doppler4,snr4,pointx5,pointy5,pointz5,doppler5,snr5,pointx6,pointy6,pointz6,doppler6,snr6,pointx7,pointy7,pointz7,doppler7,snr7,pointx8,pointy8,pointz8,doppler8,snr8,pointx9,pointy9,pointz9,doppler9,snr9,pointx10,pointy10,pointz10,doppler10,snr10,pointx11,pointy11,pointz11,doppler11,snr11,pointx12,pointy12,pointz12,doppler12,snr12,pointx13,pointy13,pointz13,doppler13,snr13,pointx14,pointy14,pointz14,doppler14,snr14,pointx15,pointy15,pointz15,doppler15,snr15,pointx16,pointy16,pointz16,doppler16,snr16,pointx17,pointy17,pointz17,doppler17,snr17
0.0,2.1427433490753174,0.5448888957500457,0.0104819014668464,0.6559215784072876,0.1231442689895629,0.3437597453594208,0.0,1.9962787628173828,-0.0449750900268554,0.1917510479688644,15.25,0.0,2.034902572631836,-0.04175643920898428,0.1917510479688644,22.0,0.0,2.0499229431152344,-0.059995460510253895,0.1917510479688644,19.5,0.0,2.3556947708129883,-1.1189315795898438,0.0,22.75,0.0,2.382516860961914,-1.184377479553223,0.0,16.25,0.0,2.34067440032959,-1.0434720993041993,0.0,21.5,0.0,1.993060111999512,0.3212358474731445,0.0,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.1304354667663574,0.6037438929080963,0.0136726256459951,0.6811720132827759,0.1234879493713378,0.3390424847602844,0.0,2.516627311706543,-0.8771751403808594,0.1917510479688644,13.5,0.0,2.10428237915039,-0.48056583404541015,0.1917510479688644,13.75,0.0,1.9397735595703125,0.4607107162475586,0.1917510479688644,14.25,0.0,1.9290447235107424,0.5762245178222656,0.1917510479688644,17.25,0.0,2.376437187194824,-1.1064146041870115,0.0,23.25,0.0,2.434372901916504,-1.1293027877807615,0.0,17.75,0.0,2.337813377380371,-1.059922981262207,0.0,21.5,0.0,1.9866228103637693,0.3251697540283203,0.0,15.75,0.0,1.992344856262207,0.4092123031616211,0.0,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0496230125427246,0.7741481781005859,-0.1524570882320404,0.8360288739204407,-0.0848060846328735,0.4100585579872131,0.0,2.309560775756836,-1.095328140258789,0.1917510479688644,19.0,0.0,2.3746490478515625,-1.1225078582763672,0.1917510479688644,21.75,0.0,2.4955272674560547,-0.9926889419555665,0.1917510479688644,16.75,0.0,2.1532773971557617,-0.7663105010986329,0.1917510479688644,14.25,0.0,2.1103620529174805,0.8723403930664062,-0.1917510479688644,14.75,0.0,1.8593072891235352,1.0236169815063476,-0.1917510479688644,12.5,0.0,1.930475234985352,0.9735490798950195,-0.1917510479688644,21.75,0.0,1.958012580871582,0.9309913635253906,-0.1917510479688644,24.75,0.0,2.313494682312012,-1.094255256652832,0.0,21.75,0.0,2.3936033248901367,-1.0778043746948243,0.0,23.5,0.0,2.480149269104004,-1.025590705871582,0.0,17.75,0.0,2.271294593811035,-0.38078765869140624,0.0,18.0,0.0,3.281235694885254,-0.1229379653930664,0.0,12.5,0.0,1.9841194152832031,0.3287460327148437,0.0,16.25,0.0,1.994490623474121,0.4224445343017578,0.0,22.0,0.0,2.010226249694824,0.6148483276367187,0.0,25.5,,,,,
0.0,2.0185465812683105,0.7938401222229003,-0.1988308727741241,0.7627904415130615,-0.1404460370540619,0.3072612285614013,0.0,2.389669418334961,-1.0656450271606444,0.1917510479688644,15.75,0.0,2.446532249450684,-1.002702522277832,0.1917510479688644,19.0,0.0,2.564549446105957,-0.853571701049805,0.1917510479688644,13.75,0.0,1.931905746459961,0.6963874816894531,-0.1917510479688644,14.5,0.0,1.9551515579223635,0.6960298538208007,-0.1917510479688644,20.25,0.0,1.983046531677246,0.6631280899047851,-0.1917510479688644,16.5,0.0,2.26736068725586,-0.44551830291748046,0.0,16.5,0.0,1.984834671020508,0.2836849212646484,0.0,16.5,0.0,1.9862651824951167,0.3780986785888672,0.0,22.25,0.0,2.159357070922852,0.7822181701660156,0.0,14.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0463407039642334,0.6654274582862854,-0.1336923241615295,0.4811491370201111,-0.0809097588062286,0.0584543049335479,0.0,1.9823312759399412,0.1899864196777344,-0.1917510479688644,18.75,0.0,1.9959211349487305,0.1728202819824219,-0.1917510479688644,22.75,0.0,2.019882202148437,0.14814395904541022,-0.1917510479688644,17.5,0.0,2.257704734802246,-0.191244888305664,0.0,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0650851726531982,0.5593676090240478,-0.0889068394899368,0.2511808276176452,-0.0452604219317436,-0.1305617392063141,0.0,2.0542144775390625,0.0887777328491211,-0.1917510479688644,20.0,0.0,1.9916296005249023,0.1992847442626954,-0.1917510479688644,17.0,0.0,2.020597457885742,0.15708465576171882,-0.1917510479688644,21.75,0.0,2.40468978881836,-1.0627840042114258,0.0,23.5,0.0,2.2323131561279297,-0.0167224884033203,0.0,18.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.058590888977051,0.5025079369544982,-0.0907783508300781,0.110195904970169,-0.0548409596085548,-0.2359634786844253,0.0,2.34675407409668,-1.126441764831543,-0.1917510479688644,19.75,0.0,2.372860908508301,-1.197252082824707,-0.1917510479688644,13.0,0.0,2.338528633117676,-1.0642145156860352,-0.1917510479688644,17.5,0.0,1.988053321838379,0.22360343933105462,-0.1917510479688644,22.75,0.0,1.9937753677368164,0.2497102737426757,-0.1917510479688644,28.5,0.0,2.010941505432129,0.3205205917358398,-0.1917510479688644,24.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.082947254180908,0.3249078065156936,-0.0419875681400299,-0.2097716033458709,-0.0226932279765605,-0.4777104258537292,0.0,2.40933895111084,-1.1622045516967772,-0.1917510479688644,15.0,0.0,2.444386482238769,-1.19617919921875,-0.1917510479688644,12.75,0.0,2.03704833984375,-0.27850608825683587,-0.1917510479688644,15.0,0.0,1.964449882507324,-0.21306018829345696,-0.1917510479688644,16.75,0.0,1.924753189086914,-0.07430057525634759,-0.1917510479688644,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0685722827911377,0.273766142129898,-0.075403407216072,-0.3023990094661712,-0.0702427923679351,-0.5156286358833313,0.0,2.202630043029785,-0.2001855850219726,-0.1917510479688644,13.75,0.0,2.0635128021240234,0.2,-0.1917510479688644,21.25,0.0,1.9866228103637693,0.3001358032226562,-0.1917510479688644,19.0,0.0,2.013087272644043,0.2908374786376953,-0.1917510479688644,23.5,0.0,2.229452133178711,-0.2527568817138672,0.0,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.050890684127808,0.2236593428999185,-0.104966826736927,-0.3824063837528229,-0.1012281626462936,-0.5397727489471436,0.0,2.3964643478393555,-1.1561248779296875,-0.1917510479688644,12.75,0.0,1.9812583923339844,0.1381303787231446,-0.1917510479688644,17.0,0.0,2.0145177841186523,0.1670982360839844,-0.1917510479688644,21.75,0.0,2.0509958267211914,0.140633773803711,-0.1917510479688644,18.25,0.0,2.233743667602539,-0.23237209320068358,0.0,18.75,0.0,1.9876956939697263,0.2557899475097656,0.0,19.75,0.0,2.0009279251098637,0.2640153884887695,0.0,25.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
