tid,posx,posy,posz,velx,vely,velz,accx,accy,accz,pointx1,pointy1,pointz1,doppler1,snr1,pointx2,pointy2,pointz2,doppler2,snr2,pointx3,pointy3,pointz3,doppler3,snr3,pointx4,pointy4,pointz4,doppler4,snr4,pointx5,pointy5,pointz5,doppler5,snr5,pointx6,pointy6,pointz6,doppler6,snr6,pointx7,pointy7,pointz7,doppler7,snr7,pointx8,pointy8,pointz8,doppler8,snr8,pointx9,pointy9,pointz9,doppler9,snr9
0.0,2.228426092187874e-05,3.167997360229492,0.4314881682395935,0.0001377668813802,0.1150828152894973,-0.3952648043632507,4.697714757639915e-05,0.1263440251350402,-0.2009062618017196,0.0,3.24404239654541,0.4557039260864258,-0.1917510479688644,18.0,0.0,3.253340721130371,0.4596378326416015,-0.1917510479688644,21.0,0.0,3.3066272735595703,0.3909732818603515,-0.1917510479688644,15.25,0.0,3.498673439025879,-0.48879127502441405,0.0,19.25,0.0,3.426432609558105,-0.3339384078979492,0.0,21.75,,,,,,,,,,,,,,,,,,,,
0.0,3.0970135412644595e-05,3.164136409759521,0.43546786606311794,0.0001361318136332,0.0820227935910224,-0.3515236377716064,4.367698056739755e-05,0.0641457289457321,-0.1564697623252868,0.0,3.1839609146118164,0.5737211227416992,-0.1917510479688644,16.0,0.0,3.209352493286133,0.5937482833862304,-0.1917510479688644,17.0,0.0,3.491520881652832,-0.4816387176513672,0.0,18.5,0.0,3.413915634155273,-0.27063827514648436,0.0,21.75,0.0,3.0802488327026367,0.8448030471801757,0.0,21.75,0.0,2.9497146606445312,0.9174015045166015,0.0,19.75,,,,,,,,,,,,,,,
0.0,3.80264209525194e-05,3.157670497894287,0.4363135069608688,0.000133197318064,0.0467073544859886,-0.3149600327014923,4.0002851164899766e-05,0.0076899193227291,-0.1205227449536323,0.0,3.170371055603028,0.5561973571777343,-0.1917510479688644,19.0,0.0,3.18753719329834,0.5583431243896484,-0.1917510479688644,19.5,0.0,3.490447998046875,-0.48235397338867186,0.0,18.0,0.0,3.4067630767822266,-0.22128562927246087,0.0,21.5,0.0,3.2547712326049805,0.3877546310424804,0.0,23.5,0.0,3.121376037597656,0.6416704177856445,0.0,23.5,,,,,,,,,,,,,,,
0.0,4.720695869764313e-05,3.1491472721099854,0.4450720965862274,0.0001328607031609,0.0210517141968011,-0.2702613770961761,3.789699621847831e-05,-0.022801749408245,-0.0811887085437774,0.0,3.072023391723633,0.7314350128173828,-0.1917510479688644,13.25,0.0,3.506898880004883,-0.4165504455566406,0.0,17.5,0.0,3.4074783325195312,-0.2080533981323242,0.0,21.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,5.043636338086799e-05,3.1309731006622314,0.5387123942375183,0.0001267938059754,-0.0221247281879186,-0.1130582243204116,3.322218981338665e-05,-0.0699023604393005,0.0327822491526603,0.0,3.0802488327026367,0.901308250427246,-0.1917510479688644,12.0,0.0,3.074169158935547,0.900235366821289,-0.1917510479688644,12.25,0.0,3.516554832458496,-0.4244182586669922,0.0,18.75,0.0,3.4085512161254883,-0.2431009292602539,0.0,21.25,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.328185554593801e-05,3.128411054611206,0.5275704979896545,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.328185554593801e-05,3.128411054611206,0.5275704979896545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.497958183288574,-0.5077455520629883,0.0,18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.328185554593801e-05,3.128411054611206,0.5275704979896545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4171342849731445,-0.3511045455932617,0.0,21.25,0.0,3.48508358001709,-0.5356405258178711,0.0,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.328185554593801e-05,3.128411054611206,0.5275704979896545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4199953079223637,-0.48807601928710936,0.0,20.75,0.0,3.484725952148437,-0.5842779159545899,0.0,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.328185554593801e-05,3.128411054611206,0.5275704979896545,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
