tid,posx,posy,posz,velx,vely,velz,accx,accy,accz,pointx1,pointy1,pointz1,doppler1,snr1,pointx2,pointy2,pointz2,doppler2,snr2,pointx3,pointy3,pointz3,doppler3,snr3,pointx4,pointy4,pointz4,doppler4,snr4,pointx5,pointy5,pointz5,doppler5,snr5,pointx6,pointy6,pointz6,doppler6,snr6,pointx7,pointy7,pointz7,doppler7,snr7,pointx8,pointy8,pointz8,doppler8,snr8,pointx9,pointy9,pointz9,doppler9,snr9,pointx10,pointy10,pointz10,doppler10,snr10,pointx11,pointy11,pointz11,doppler11,snr11,pointx12,pointy12,pointz12,doppler12,snr12,pointx13,pointy13,pointz13,doppler13,snr13
0.0,-1.175994679414316e-08,2.809456586837769,0.5252217769622802,9.811812695659228e-09,0.050918124616146,-0.2168380916118621,5.9697287113635875e-09,-0.0101131126284599,-0.1919283419847488,0.0,3.1578540802001958,-1.0019872665405272,0.0,13.0,0.0,3.237247467041016,0.07554550170898441,0.0,16.25,0.0,3.030538558959961,0.21215934753417962,0.0,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-1.175994679414316e-08,2.809456586837769,0.5252217769622802,9.811812695659228e-09,0.050918124616146,-0.2168380916118621,5.9697287113635875e-09,-0.0101131126284599,-0.1919283419847488,0.0,3.1692981719970703,-0.9912584304809571,0.0,13.25,0.0,3.245115280151367,-0.024232673645019492,0.0,15.75,0.0,3.027677536010742,0.1828338623046875,0.0,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-1.1029996471734194e-08,2.798682689666748,0.541241031885147,1.0719867660213822e-08,0.0285827964544296,-0.1887985318899154,6.528353413415289e-09,-0.0380862616002559,-0.1689318716526031,0.0,2.645730972290039,0.6967451095581054,-0.1917510479688644,13.0,0.0,2.6650428771972656,0.6985332489013671,-0.1917510479688644,16.0,0.0,3.1925439834594727,-0.8657310485839844,0.0,13.75,0.0,3.22723388671875,-0.3103349685668945,0.0,16.5,0.0,3.0155181884765625,0.196781349182129,0.0,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-1.1029996471734194e-08,2.798682689666748,0.541241031885147,1.0719867660213822e-08,0.0285827964544296,-0.1887985318899154,6.528353413415289e-09,-0.0380862616002559,-0.1689318716526031,0.0,3.085970878601074,-1.1421773910522461,0.0,15.25,0.0,3.210783004760742,-0.4451606750488281,0.0,17.0,0.0,3.03339958190918,0.25328655242919923,0.0,17.0,0.0,2.7304887771606445,0.7536079406738281,0.0,24.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-1.1029996471734194e-08,2.798682689666748,0.541241031885147,1.0719867660213822e-08,0.0285827964544296,-0.1887985318899154,6.528353413415289e-09,-0.0380862616002559,-0.1689318716526031,0.0,3.124237060546875,-1.089963722229004,0.0,15.75,0.0,3.210783004760742,-0.3085468292236328,0.0,17.25,0.0,3.058791160583496,0.15100498199462903,0.0,18.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-1.1029996471734194e-08,2.798682689666748,0.541241031885147,1.0719867660213822e-08,0.0285827964544296,-0.1887985318899154,6.528353413415289e-09,-0.0380862616002559,-0.1689318716526031,0.0,3.099203109741211,-1.1625621795654297,0.0,14.75,0.0,3.2172203063964844,-0.15262107849121087,0.0,16.75,0.0,3.0573606491088867,0.164594841003418,0.0,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-1.1029996471734194e-08,2.798682689666748,0.541241031885147,1.0719867660213822e-08,0.0285827964544296,-0.1887985318899154,6.528353413415289e-09,-0.0380862616002559,-0.1689318716526031,0.0,3.145694732666016,-1.0331008911132813,0.0,14.75,0.0,3.206491470336914,-0.2173517227172851,0.0,16.25,0.0,3.0519962310791016,0.1299049377441407,0.0,18.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-1.0655735849240957e-08,2.7971112728118896,0.5500012159347534,1.1185696813242885e-08,0.0309814102947711,-0.172948271036148,6.810261687917318e-09,-0.0301694571971893,-0.1548782140016555,0.0,2.675414085388184,0.7561113357543945,0.1917510479688644,12.25,0.0,3.234386444091797,-0.7688138961791993,0.0,15.25,0.0,3.2111406326293945,-0.37363510131835936,0.0,16.5,0.0,2.714395523071289,0.8222724914550781,0.0,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-1.0305709174929234e-08,2.795456647872925,0.5595148921012878,1.1621618334345385e-08,0.0330467633903026,-0.1557772755622863,7.07439218317063e-09,-0.0227540824562311,-0.1397034972906112,0.0,2.6700496673583984,0.7911588668823242,0.1917510479688644,13.5,0.0,3.291964530944824,-0.609311866760254,0.0,13.75,0.0,3.236532211303711,-0.12186508178710936,0.0,14.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-1.0305709174929234e-08,2.795456647872925,0.5595148921012878,1.1621618334345385e-08,0.0330467633903026,-0.1557772755622863,7.07439218317063e-09,-0.0227540824562311,-0.1397034972906112,0.0,3.288745880126953,-0.6264780044555665,0.0,13.25,0.0,3.231525421142578,-0.1572702407836914,0.0,15.0,0.0,3.013014793395996,0.18140335083007822,0.0,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-1.0305709174929234e-08,2.795456647872925,0.5595148921012878,1.1621618334345385e-08,0.0330467633903026,-0.1557772755622863,7.07439218317063e-09,-0.0227540824562311,-0.1397034972906112,0.0,3.2204389572143555,-0.02459030151367178,0.0,12.75,0.0,2.71761417388916,0.8054639816284179,0.0,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-1.0305709174929234e-08,2.795456647872925,0.5595148921012878,1.1621618334345385e-08,0.0330467633903026,-0.1557772755622863,7.07439218317063e-09,-0.0227540824562311,-0.1397034972906112,0.0,3.197550773620605,-0.12758712768554686,0.0,12.5,0.0,2.9897689819335938,0.1434947967529297,0.0,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-1.0305709174929234e-08,2.795456647872925,0.5595148921012878,1.1621618334345385e-08,0.0330467633903026,-0.1557772755622863,7.07439218317063e-09,-0.0227540824562311,-0.1397034972906112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-1.0305709174929234e-08,2.795456647872925,0.5595148921012878,1.1621618334345385e-08,0.0330467633903026,-0.1557772755622863,7.07439218317063e-09,-0.0227540824562311,-0.1397034972906112,0.0,3.198981285095215,-0.532421875,0.0,12.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-1.0305709174929234e-08,2.795456647872925,0.5595148921012878,1.1621618334345385e-08,0.0330467633903026,-0.1557772755622863,7.07439218317063e-09,-0.0227540824562311,-0.1397034972906112,0.0,2.910375595092773,0.5626346588134765,0.0,13.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-1.0305709174929234e-08,2.795456647872925,0.5595148921012878,1.1621618334345385e-08,0.0330467633903026,-0.1557772755622863,7.07439218317063e-09,-0.0227540824562311,-0.1397034972906112,0.0,3.300905227661133,-0.6100271224975586,0.0,12.5,0.0,3.2204389572143555,-0.35718421936035155,0.0,14.0,0.0,2.9894113540649414,0.1631643295288086,0.0,15.0,0.0,2.564549446105957,0.7557537078857421,0.0,13.0,0.0,2.648234367370605,0.7897283554077148,0.0,26.25,0.0,2.6682615280151367,0.7947351455688476,0.0,29.5,0.0,2.7036666870117188,0.8254911422729492,0.0,25.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-1.0305709174929234e-08,2.795456647872925,0.5595148921012878,1.1621618334345385e-08,0.0330467633903026,-0.1557772755622863,7.07439218317063e-09,-0.0227540824562311,-0.1397034972906112,0.0,3.287315368652344,-0.6418560028076172,0.0,13.5,0.0,3.2018423080444336,-0.5055997848510743,0.0,15.0,0.0,3.0258893966674805,0.0519420623779297,0.0,15.0,0.0,2.6432275772094727,0.8515979766845703,0.0,24.25,0.0,2.6646852493286133,0.8859302520751953,0.0,28.5,0.0,2.695441246032715,0.9091760635375976,0.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-1.0305709174929234e-08,2.795456647872925,0.5595148921012878,1.1621618334345385e-08,0.0330467633903026,-0.1557772755622863,7.07439218317063e-09,-0.0227540824562311,-0.1397034972906112,0.0,3.2651424407958984,-0.7223222732543944,0.0,12.75,0.0,3.208637237548828,-0.3460977554321289,0.0,15.0,0.0,3.051638603210449,-0.13867359161376946,0.0,16.0,0.0,2.6503801345825195,0.8272792816162109,0.0,23.25,0.0,2.6743412017822266,0.866975975036621,0.0,27.75,0.0,2.698659896850586,0.901308250427246,0.0,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
